#"ranked standard, 2017-09-20 to 2017-09-24, all ranks, all regions, min 100 games",,,,
#,,,,
#friendly_archetype,opponent_archetype,friendly_is_first,win_rate,total_games
Tempo Mage,Evolve Shaman,0,52.21,406
Tempo Mage,Evolve Shaman,1,49.73,382
Tempo Mage,Highlander Priest,0,45.57,452
Tempo Mage,Highlander Priest,1,41.37,377
Tempo Mage,Resurrect Priest,1,50,108
Tempo Mage,Handlock,0,69.36,111
Tempo Mage,Handlock,1,65.83,120
Tempo Mage,Midrange Hunter,0,41.37,464
Tempo Mage,Midrange Hunter,1,42.68,492
Tempo Mage,Deathrattle Hunter,0,42.1,152
Tempo Mage,Deathrattle Hunter,1,40.25,154
Tempo Mage,Secret Mage,0,45.28,212
Tempo Mage,Secret Mage,1,40.65,214
Tempo Mage,Quest Mage,0,73.39,109
Tempo Mage,Quest Mage,1,71.96,107
Tempo Mage,Jade Druid,0,42.85,252
Tempo Mage,Jade Druid,1,42.43,238
Tempo Mage,Prince Rogue,0,51.21,369
Tempo Mage,Prince Rogue,1,53.42,350
Pirate Warrior,Pirate Warrior,0,49.1,1456
Pirate Warrior,Pirate Warrior,1,50.82,1456
Pirate Warrior,Miracle Rogue,0,66.94,1806
Pirate Warrior,Miracle Rogue,1,63.66,1918
Pirate Warrior,Evolve Shaman,0,44.39,6967
Pirate Warrior,Evolve Shaman,1,44.58,6882
Pirate Warrior,Aggro Druid,0,38.8,956
Pirate Warrior,Aggro Druid,1,40.46,996
Pirate Warrior,Demon Control Warlock,0,68.08,940
Pirate Warrior,Demon Control Warlock,1,68.28,1012
Pirate Warrior,Highlander Priest,0,53.61,8380
Pirate Warrior,Highlander Priest,1,51.14,8304
Pirate Warrior,Resurrect Priest,0,59.86,2048
Pirate Warrior,Resurrect Priest,1,54.75,2062
Pirate Warrior,Dragon Priest,0,54.34,1301
Pirate Warrior,Dragon Priest,1,60.11,1429
Pirate Warrior,Silence Priest,0,65.34,176
Pirate Warrior,Silence Priest,1,63.97,186
Pirate Warrior,Handlock,0,62.22,2621
Pirate Warrior,Handlock,1,60.33,2778
Pirate Warrior,Zoolock,0,46.5,1372
Pirate Warrior,Zoolock,1,48.53,1331
Pirate Warrior,Highlander Warlock,0,61.43,293
Pirate Warrior,Highlander Warlock,1,56.49,331
Pirate Warrior,Midrange Hunter,0,40.48,8630
Pirate Warrior,Midrange Hunter,1,40,8547
Pirate Warrior,Deathrattle Hunter,0,50.78,2938
Pirate Warrior,Deathrattle Hunter,1,50.69,2866
Pirate Warrior,Secret Mage,0,52.41,4325
Pirate Warrior,Secret Mage,1,55.25,4226
Pirate Warrior,Quest Mage,0,85.87,2223
Pirate Warrior,Quest Mage,1,86.6,2180
Pirate Warrior,Control Mage,0,55.29,2313
Pirate Warrior,Control Mage,1,56.35,2312
Pirate Warrior,Highlander Mage,0,69.44,108
Pirate Warrior,Highlander Mage,1,55.14,107
Pirate Warrior,Jade Druid,0,55.06,5030
Pirate Warrior,Jade Druid,1,56.77,4955
Pirate Warrior,Big Druid,0,62.8,164
Pirate Warrior,Big Druid,1,63.97,161
Pirate Warrior,Taunt Druid,0,56.16,422
Pirate Warrior,Taunt Druid,1,59.6,458
Pirate Warrior,Mill Rogue,0,83.96,524
Pirate Warrior,Mill Rogue,1,81.55,526
Pirate Warrior,Elemental Rogue,0,40.23,1039
Pirate Warrior,Elemental Rogue,1,46.89,1013
Pirate Warrior,Quest Rogue,0,70.63,126
Pirate Warrior,Quest Rogue,1,76.57,111
Pirate Warrior,Control Paladin,0,42.98,1005
Pirate Warrior,Control Paladin,1,46.21,991
Pirate Warrior,Murloc Paladin,0,41.31,1699
Pirate Warrior,Murloc Paladin,1,45.45,1760
Pirate Warrior,Aggro Paladin,1,53.27,107
Pirate Warrior,Grimestreet Paladin,0,42.62,915
Pirate Warrior,Grimestreet Paladin,1,44.02,995
Pirate Warrior,Enrage Warrior,0,59.2,478
Pirate Warrior,Enrage Warrior,1,59.73,457
Pirate Warrior,Quest Warrior,0,55.87,587
Pirate Warrior,Quest Warrior,1,55.65,575
Pirate Warrior,Dead Man Warrior,0,67.6,920
Pirate Warrior,Dead Man Warrior,1,60.24,903
Pirate Warrior,Prince Rogue,0,44.2,4977
Pirate Warrior,Prince Rogue,1,47.73,5001
Miracle Rogue,Pirate Warrior,0,36.33,1918
Miracle Rogue,Pirate Warrior,1,32.94,1806
Miracle Rogue,Miracle Rogue,0,54.6,2152
Miracle Rogue,Miracle Rogue,1,45.39,2152
Miracle Rogue,Evolve Shaman,0,38.3,8118
Miracle Rogue,Evolve Shaman,1,39.45,8121
Miracle Rogue,Aggro Druid,0,43.03,1213
Miracle Rogue,Aggro Druid,1,39.52,1212
Miracle Rogue,Demon Control Warlock,0,55.44,992
Miracle Rogue,Demon Control Warlock,1,50.6,986
Miracle Rogue,Highlander Priest,0,49.23,7691
Miracle Rogue,Highlander Priest,1,42.84,7567
Miracle Rogue,Resurrect Priest,0,58.97,2262
Miracle Rogue,Resurrect Priest,1,55.6,2365
Miracle Rogue,Dragon Priest,0,55.82,1442
Miracle Rogue,Dragon Priest,1,49.96,1473
Miracle Rogue,Silence Priest,0,54.22,201
Miracle Rogue,Silence Priest,1,60.28,209
Miracle Rogue,Handlock,0,54.36,2899
Miracle Rogue,Handlock,1,51.33,2836
Miracle Rogue,Zoolock,0,42.52,1418
Miracle Rogue,Zoolock,1,46.19,1392
Miracle Rogue,Highlander Warlock,0,58.52,299
Miracle Rogue,Highlander Warlock,1,51.44,276
Miracle Rogue,Midrange Hunter,0,37.87,10462
Miracle Rogue,Midrange Hunter,1,38.94,10331
Miracle Rogue,Deathrattle Hunter,0,44.35,3659
Miracle Rogue,Deathrattle Hunter,1,44.99,3503
Miracle Rogue,Secret Mage,0,37.48,4700
Miracle Rogue,Secret Mage,1,33.64,4726
Miracle Rogue,Quest Mage,0,59.74,2554
Miracle Rogue,Quest Mage,1,55.45,2660
Miracle Rogue,Control Mage,0,48.59,2105
Miracle Rogue,Control Mage,1,45.79,2083
Miracle Rogue,Jade Druid,0,52.63,4995
Miracle Rogue,Jade Druid,1,44.72,5111
Miracle Rogue,Big Druid,0,67.27,165
Miracle Rogue,Big Druid,1,51.7,176
Miracle Rogue,Taunt Druid,0,52.64,511
Miracle Rogue,Taunt Druid,1,52.69,556
Miracle Rogue,Mill Rogue,0,58.43,510
Miracle Rogue,Mill Rogue,1,57.31,492
Miracle Rogue,Elemental Rogue,0,40.95,984
Miracle Rogue,Elemental Rogue,1,40.06,951
Miracle Rogue,Quest Rogue,0,54.66,150
Miracle Rogue,Quest Rogue,1,44.04,168
Miracle Rogue,Control Paladin,0,57.18,974
Miracle Rogue,Control Paladin,1,55.55,972
Miracle Rogue,Murloc Paladin,0,45.21,2028
Miracle Rogue,Murloc Paladin,1,45.89,2129
Miracle Rogue,Aggro Paladin,0,39.21,102
Miracle Rogue,Aggro Paladin,1,39.47,114
Miracle Rogue,Grimestreet Paladin,0,52.35,934
Miracle Rogue,Grimestreet Paladin,1,52.01,1019
