teamName,inGameName,Deck Code 1,Deck Code 2,Deck Code 3,Deck Code 4
PNC#1102,PNC#1102,#  AAECAaIHCLICrwSStgL1uwKRvALKywLP4QKc4gILtAHtAqgF1AXdCIHCAuvCApvLAqbOAvvTAtvjAgA= #  #,#  AAECAZICBNkHkbwCr8ICysMCDfcDqAXmBeUHwasCtrMCzbsChsEC5MIC68ICm80C+9MCi+UCAA== #  #,#  AAECAf0GBswI4KwCysMC38QCoM4Cl9MCDNsGtgfECJvCAt7EAufLAq7NAvLQAvjQAojSAvzlAujnAgA= #,#  AAECAa0GHgn7AZcCnAKhBMUE5QTtBfYHjQilCdMK1wryDPsMkrQCgrUCg7sCt7sCursC2LsC8LsC6r8C0cEC2cECyccC8M8C6NACkNMCy+YCAAA= #  #
jobs#11968,jobs#11968,AAECAR8ErwTyBdsJkbwCDagCtQOoBdQF2QfrB/4M6rsC5MICjsMC+9MC4eMCi+UCAA==,AAECAaIHBLICrwSRvAKc4gINtAHtAqgF1AXdCJK2AoHCAuvCApvLAsrLAqbOAvvTAtvjAgA=,AAECAf0EBMABvwijtgKi0wINcbsClQPmBJYF7AXXtgLrugKHvQLBwQKYxAKP0wL70wIA,AAECAZICApG8AsrLAg73A6gF5gXlB8GrArazAs27AobBAuTCAuvCApvNApHQAvvTAovlAgA=
Visl#1903,Visl#1903,AAECAaIHBrICrwSRvAKbywLc0QKc4gIMtAHtAqgF1AXyBd0IkrYCgcIC68ICps4C+9MC2+MCAA==,AAECAa0GHgntAfsBlwKcAqEE5QTtBfYHpQnSCtMK1grXCvIM+wyStAKDuwK1uwLYuwLwuwLqvwLRwQLSwQLYwQLZwQK+yALwzwLo0AKQ0wIAAA==,AAECAf0GBtsGzAjJwgKX0wKd4gLb6QIM9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZICBK6rApS9At/EApnTAg1AX+QItLsCy7wC3b4CoM0Ch84ClNICmNICntIC29MChOYCAA==
Primitive#1274,Primitive#1274,AAECAZICAvIFkbwCDvcDqAXmBeUHwasCtrMCzbsChsEC5MIC68ICm80CkdAC+9MCi+UCAA==,AAECAaIHBrICrwTyBZG8AsLOApziAgy0Ae0CqAXUBd0IkrYCgcICysMCm8sCps4C+9MC2+MCAA==,AAECAZ/HAh4J7QH7AZcCnALlBO0FpQnSCtMK1grXCvIM+wyStAKDuwK1uwLYuwLwuwLqvwLRwQLSwQLYwQLZwQLkwgLKwwK+yALwzwLo0AKQ0wIAAA==,AAECAf0GCIoB8gWKB+CsAqDOAvjQApfTAtjnAgvbBrYHm8ICysMC3sQC58sC8tACiNIC/OUC6uYC6OcCAA==
Powder#2925,Powder#2925,### Custom Priest2 # Class: Priest # Format: Standard # Year of the Mammoth # # 1x (0) Circle of Healing # 1x (0) Silence # 1x (1) Binding Heal # 1x (1) Holy Smite # 1x (1) Northshire Cleric # 1x (1) Potion of Madness # 1x (1) Power Word: Shield # 1x (2) Bloodmage Thalnos # 1x (2) Loot Hoarder # 1x (2) Mind Blast # 1x (2) Novice Engineer # 1x (2) Radiant Elemental # 1x (2) Shadow Visions # 1x (2) Shadow Word: Pain # 1x (2) Spirit Lash # 1x (2) Wild Pyromancer # 1x (3) Acolyte of Pain # 1x (3) Curious Glimmerroot # 1x (3) Kabal Talonpriest # 1x (3) Shadow Word: Death # 1x (3) Tar Creeper # 1x (4) Auchenai Soulpriest # 1x (4) Kazakus # 1x (4) Priest of the Feast # 1x (5) Lyra the Sunshard # 1x (5) Raza the Chained # 1x (6) Dragonfire Potion # 1x (7) Prophet Velen # 1x (7) Psychic Scream # 1x (8) Shadowreaper Anduin #  AAECAa0GHgntAfsBlwKcAqEE5QTtBfYHpQnSCtMK1wryDPsMkrQCg7sCtbsC2LsC8LsC6r8C0cEC0sEC2MEC2cECysMCvsgC8M8C6NACkNMCAAA= #,### Kelseth pls # Class: Rogue # Format: Standard # Year of the Mammoth # # 2x (0) Backstab # 2x (0) Shadowstep # 2x (1) Fire Fly # 1x (1) Patches the Pirate # 2x (1) Southsea Deckhand # 2x (1) Swashburglar # 1x (2) Prince Keleseth # 1x (3) Edwin VanCleef # 2x (3) SI:7 Agent # 2x (3) Southsea Captain # 1x (3) Tar Creeper # 2x (4) Elven Minstrel # 2x (4) Saronite Chain Gang # 1x (5) Cobalt Scalebane # 1x (5) Leeroy Jenkins # 2x (5) Vilespine Slayer # 2x (7) Bonemare # 2x (7) Corridor Creeper #  AAECAYO6AgayAq8EkbwCysMCyssCnOICDLQB7QKoBdQF3QiStgKBwgLrwgKbywKmzgL70wLb4wIA #,"### Custom Warlock2 # Class: Warlock # Format: Standard # Year of the Mammoth # # 2x (1) Dark Pact # 2x (1) Kobold Librarian # 2x (1) Mistress of Mixtures # 1x (1) Mortal Coil # 2x (2) Defile # 1x (2) Dirty Rat # 2x (2) Gnomeferatu # 2x (3) Stonehill Defender # 2x (4) Hellfire # 2x (4) Lesser Amethyst Spellstone # 1x (5) Faceless Manipulator # 2x (5) Possessed Lackey # 1x (6) Rin, the First Disciple # 1x (6) Siphon Soul # 1x (6) Skulking Geist # 2x (8) Twisting Nether # 2x (9) Voidlord # 1x (10) Bloodreaver Gul'dan # 1x (10) N'Zoth, the Corruptor #  AAECAf0GCJMExAjMCOCsAt/EAqDOApfTAtjnAgvbBrYHm8IC3sQC58sCrs0C8tAC+NACiNIC/OUC6OcCAA== #",### Custom Hunter # Class: Hunter # Format: Standard # Year of the Mammoth # # 2x (1) Alleycat # 2x (1) Candleshot # 2x (1) Dire Mole # 1x (1) Patches the Pirate # 2x (1) Southsea Deckhand # 2x (2) Crackling Razormaw # 2x (2) Golakka Crawler # 2x (3) Animal Companion # 2x (3) Eaglehorn Bow # 2x (3) Kill Command # 2x (3) Southsea Captain # 1x (4) Flanking Strike # 2x (4) Houndmaster # 1x (4) Spellbreaker # 2x (5) Bittertide Hydra # 1x (5) Leeroy Jenkins # 2x (7) Corridor Creeper #  AAECAR8ErwTyBZG8At3SAg2oArUDqAXUBesH/gzquwKvwgLkwgKOwwL70wLh4wKL5QIA #
gcttirth#1560,gcttirth#1560,AAECAZICBKgFkbwCn8ICyssCDfcD5gXlB8GrArazAs27AobBAuTCAuvCApvNApHQAvvTAovlAgA=,AAECAa0GHgntAfsBlwKcAqEE5QTtBaQH9gelCdIK0wrWCtcK8gz7DJK0AoO7ArW7Ati7Auq/AtHBAtLBAtjBAtnBAsrDAvDPAujQApDTAgAA,AAECAf0GCPIFzAjgrALKwwKgzgKX0wLq5gLY5wIL2wa2B8QIm8IC3sQC58sC8tAC+NACiNIC/OUC6OcCAA==,AAECAaIHCLICrwSoBZK2AvW7ApG8AsrDApziAgu0Ae0C1AXdCIHCAuvCApvLAsrLAqbOAvvTAtvjAgA=
Terrencem#1843,Terrencem#1843,AAECAZICBNUBqAWRvAKvwgIN9wPmBeUHwasCtrMCzbsChsEC5MIC68ICysMCm80C+9MCi+UCAA==,AAECAf0GCooB4KwCycIC58sCrs0CoM4Cl9MCneICl+gC2+kCCpME2wa2B97EAvLQAvjQAojSAovhAvzlAujnAgA=,AAECAZ/HAh4JlwKcAqEE5QTtBfYHjQilCdMK8gz7DKGsApK0AoK1AoO7Are7Arq7Ati7AvC7Aui/Auq/AtHBAsnHAsrLAqDOAvDPAujQApDTAsvmAgAA,AAECAc2xAgjFBOwH+wyhtwLBwQKgzgKb0wKj6wILTYoBwAHJA6O2AsrDAt/EApbHAtXhAtfhApbkAgA=
Keyo#1432,Keyo#1432,AAECAcn1AgKRvAKc4gIOMPcEqAXyBdsGwgi0rALrwgKbywL3zQKmzgLy0AL70wLX6wIA,AAECAR8E8gWRvALKywLQ5wINqAXUBdkH6wf+DMeuAuq7Ao7DAtfNAvvTAuHjAovlAtfrAgA=,AAECAa0GCPIFkbwC4b8Cn8ICysMCmcgCnOIC0OcCCwioBY0I8gy6uwLwuwLKywKmzgL70wLL5gLX6wIA,AAECAQcCkbwCnOICDhywApEDjgWoBdQF8gXuBoKwAoiwAsrLAvvTAs/jAtfrAgA=
Nicslay#2567,Nicslay#2567,"### Custom Mage3 # Class: Mage # Format: Standard # Year of the Mammoth # # 2x (1) Arcane Artificer # 1x (2) Arcanologist # 2x (2) Dirty Rat # 2x (2) Raven Familiar # 1x (3) Acolyte of Pain # 2x (3) Ice Block # 2x (3) Tar Creeper # 2x (4) Polymorph # 2x (5) Arcane Tyrant # 2x (5) Dragon's Fury # 2x (6) Blizzard # 2x (6) Meteor # 1x (6) Skulking Geist # 2x (7) Firelands Portal # 1x (7) Flamestrike # 1x (8) Medivh, the Guardian # 1x (9) Alexstrasza # 1x (9) Dragoncaller Alanna # 1x (9) Frost Lich Jaina #  AAECAf0ECMUE7Af7DKG3AsHBAqDOApvTAqPrAgtNwAHJA6O2AsrDAt/EApbHAtvTAtXhAtfhApbkAgA= #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Priest2 # Class: Priest # Format: Standard # Year of the Mammoth # # 1x (0) Circle of Healing # 2x (1) Inner Fire # 2x (1) Northshire Cleric # 2x (1) Potion of Madness # 2x (1) Power Word: Shield # 2x (2) Divine Spirit # 2x (2) Netherspite Historian # 2x (2) Radiant Elemental # 2x (2) Shadow Visions # 1x (2) Wild Pyromancer # 2x (3) Kabal Talonpriest # 2x (3) Twilight Acolyte # 2x (4) Duskbreaker # 1x (4) Mass Dispel # 2x (4) Twilight Drake # 2x (5) Drakonid Operative # 1x (5) Lyra the Sunshard #  AAECAa0GBPYH0grWCr7IAg34AuUEjQjRCvIMgrUCtbsCursC8LsC0cEC2MECy+YC/OoCAA== #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### Custom Warlock2 # Class: Warlock # Format: Standard # Year of the Mammoth # # 2x (1) Dark Pact # 2x (1) Kobold Librarian # 2x (1) Mistress of Mixtures # 2x (1) Mortal Coil # 1x (2) Bloodmage Thalnos # 2x (2) Defile # 1x (3) Prince Taldaram # 2x (4) Hellfire # 2x (4) Lesser Amethyst Spellstone # 2x (5) Carnivorous Cube # 2x (5) Doomguard # 2x (5) Faceless Manipulator # 2x (5) Possessed Lackey # 1x (5) Skull of the Man'ari # 2x (9) Voidlord # 1x (10) Bloodreaver Gul'dan # 2x (12) Mountain Giant #  AAECAf0GBO0Fl9MCneIC2+kCDZME9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone","### BrokeBack # Class: Druid # Format: Standard # Year of the Mammoth # # 2x (1) Jade Idol # 2x (1) Lesser Jasper Spellstone # 2x (2) Wild Growth # 2x (3) Jade Blossom # 2x (4) Branching Paths # 1x (4) Fandral Staghelm # 2x (4) Ironwood Golem # 2x (4) Oaken Summons # 2x (4) Swipe # 1x (4) Violet Teacher # 2x (5) Arcane Tyrant # 2x (5) Nourish # 1x (6) Aya Blackpaw # 2x (6) Jade Behemoth # 2x (6) Spreading Plague # 1x (7) Malfurion the Pestilent # 2x (10) Ultimate Infestation #  AAECAZICBIUIrqsClL0CmdMCDUBf5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gLb0wKE5gIA #  # To use this deck, copy it to your clipboard and create a new deck in Hearthstone"
Jac0b0#2577,Jac0b0#2577,AAECAa0GHgntAfsBlwKcAqEE5QTtBaQH9gelCdIK0wrXCvIM+wyStAKDuwK1uwLYuwLwuwLqvwLRwQLSwQLYwQLZwQLKwwLwzwLo0AKQ0wIAAA==,AAECAf0GBMnCApfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,AAECAaIHBLICrwSRvAKc4gINtAHtAqgF1AXdCJK2AoHCAuvCApvLAsrLAqbOAvvTAtvjAgA=,AAECAZICBq6rAr6rApS9AqDNApnTAtvTAgxAX8QG5Ai0uwLLvALdvgKHzgKU0gKY0gKe0gKE5gIA
