,,,,,"Crane333#2314","Rikitikitavi#2184","Springy#2781","ignite#21733","Fox#29320","Swidz#2563","tanaka#21918"
1,"Arcane Artificer",14,100.0%,,2,2,2,2,2,2,2
2,"Acidic Swamp Ooze",1,14.3%,,,,,,,,1
2,"Baleful Banker",1,14.3%,,,,,,,,1
2,"Doomsayer",10,71.4%,,,2,2,2,,2,2
2,"Plated Beetle",8,57.1%,,2,2,,,2,2,
2,"Pyros",1,14.3%,,,,1,,,,
2,"Raven Familiar",12,85.7%,,2,2,2,2,2,,2
3,"Acolyte of Pain",4,28.6%,,,,,1,,1,2
3,"Gluttonous Ooze",4,28.6%,,,,1,1,2,,
3,"Mindbreaker",1,14.3%,,,,,,,,1
3,"Stonehill Defender",10,71.4%,,2,2,2,2,2,,
3,"Tar Creeper",6,42.9%,,2,,,,,2,2
3,"Voodoo Doll",14,100.0%,,2,2,2,2,2,2,2
3,"Zola the Gorgon",1,14.3%,,,,,,,1,
4,"Arcane Keysmith",7,50.0%,,2,2,2,1,,,
4,"Fire Plume Phoenix",1,14.3%,,,,,,,1,
4,"Polymorph",13,92.9%,,2,2,2,2,2,1,2
4,"Saronite Chain Gang",3,21.4%,,,,,1,,2,
4,"Witchwood Piper",4,28.6%,,,1,,,1,2,
5,"Dragon's Fury",14,100.0%,,2,2,2,2,2,2,2
5,"Elise the Trailblazer",1,14.3%,,,,,,,,1
5,"Harrison Jones",1,14.3%,,,,,1,,,
5,"Rotten Applebaum",4,28.6%,,2,,,,2,,
6,"Blizzard",14,100.0%,,2,2,2,2,2,2,2
6,"Meteor",13,92.9%,,2,2,2,2,2,2,1
6,"Skulking Geist",4,57.1%,,,1,1,1,,,1
7,"Baron Geddon",6,85.7%,,1,1,1,1,1,1,
7,"Flamestrike",14,100.0%,,2,2,2,2,2,2,2
8,"Sindragosa",2,28.6%,,,,,,1,,1
8,"The Lich King",6,85.7%,,1,1,1,1,1,1,
9,"Alexstrasza",5,71.4%,,,1,1,,1,1,1
9,"Dragoncaller Alanna",4,57.1%,,1,,1,1,,,1
9,"Frost Lich Jaina",7,100.0%,,1,1,1,1,1,1,1
