,,,,,"yogg#2768","KalÃ xz#2721","Windello#2498","Thiddi#2854"
0,"Circle of Healing",8,100.0%,,2,2,2,2
0,"Silence",5,62.5%,,1,1,1,2
1,"Dire Mole",1,25.0%,,,,,1
1,"Inner Fire",5,62.5%,,1,1,1,2
1,"Northshire Cleric",8,100.0%,,2,2,2,2
1,"Power Word: Shield",8,100.0%,,2,2,2,2
2,"Crazed Alchemist",3,75.0%,,1,1,1,
2,"Divine Hymn",6,75.0%,,2,2,2,
2,"Divine Spirit",8,100.0%,,2,2,2,2
2,"Radiant Elemental",8,100.0%,,2,2,2,2
2,"Shadow Ascendant",2,25.0%,,,,,2
2,"Shadow Visions",8,100.0%,,2,2,2,2
2,"Spirit Lash",6,75.0%,,2,2,2,
2,"Wild Pyromancer",8,100.0%,,2,2,2,2
3,"Acolyte of Pain",1,25.0%,,,,,1
3,"Injured Blademaster",1,25.0%,,,,,1
3,"Tar Creeper",2,25.0%,,,,,2
3,"Unidentified Elixir",1,25.0%,,,,,1
3,"Vivid Nightmare",6,75.0%,,2,2,2,
4,"Eternal Servitude",3,75.0%,,1,1,1,
4,"Mass Dispel",3,75.0%,,1,1,1,
4,"Shadow Madness",3,75.0%,,1,1,1,
4,"Stormwind Knight",3,75.0%,,1,1,1,
4,"Tortollan Shellraiser",2,25.0%,,,,,2
4,"Witchwood Piper",3,75.0%,,1,1,1,
5,"Harrison Jones",1,25.0%,,,,,1
5,"Lyra the Sunshard",1,25.0%,,,,,1
7,"Psychic Scream",6,75.0%,,2,2,2,
