,,"Nicslay#2567","Sintolol#2775","Seiko#2721","dawido#2832","Scruffy#2659","Faeli#2572","Findan#2596","martim#2226","eilic#2496","pokrovac#2638","Jarla#21553","Glaser#2196","hunterace#2217","ntR#1799","Twink#21785","Zhym#2678","Ronnie#2895","riku97#2895","Zuka#2978","KalÃ xz#2721","yogg#2768","Windello#2498","Warma#2764","Maverick#2233","Odemian#2999","A83650#2106","zumpp#2702","Kolento#2266","Kalas#2638","Trec#2878","MM78#2809","Fox#29320","Swidz#2563","xBlyzes#2682","ignite#21733","ShtanUdachi#2202","RENMEN#2291","Raena#2283"
0,"Sacrificial Pact",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1
1,"Dark Pact",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Dark Possession",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2
1,"Kobold Librarian",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Mortal Coil",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,  ,  ,  ,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,  ,  ,  ,  
2,"Acidic Swamp Ooze",1,1,1,  ,  ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,  ,  ,  ,  ,1,  ,  ,  ,  ,  ,1,1,  ,  ,  
2,"Baleful Banker",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,1
2,"Defile",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Doomsayer",  ,  ,  ,  ,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,  ,  ,  ,  ,2,2,2,2,1,  ,  ,  ,  ,2,  ,  ,2,2,  
2,"Gnomeferatu",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,2,2,  ,  ,  ,  ,  ,  ,  ,  ,2,2,  ,  ,  ,  ,2,2,2,  
2,"Plated Beetle",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,  ,1,  ,  ,  ,2,2,2,2,2,2,2,2,2,2,1,  ,1,1,1
3,"Gluttonous Ooze",  ,  ,  ,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,  ,1,1,2,2,  ,  ,  ,1,1,1
3,"Ironbeak Owl",  ,  ,  ,  ,  ,  ,1,1,1,1,1,1,1,1,1,  ,2,1,2,1,1,1,1,1,1,1,  ,1,1,1,1,  ,  ,1,1,1,1,  
3,"Shadow Bolt",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  
3,"Stonehill Defender",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
3,"Tar Creeper",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,1,  ,  ,1,2,  ,  ,  ,  ,  ,  
3,"Voodoo Doll",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,  ,  ,2
4,"Hellfire",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Lesser Amethyst Spellstone",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Shroom Brewer",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,2,  ,  ,  ,  ,  
4,"Spellbreaker",  ,  ,  ,  ,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4,"Spiritsinger Umbra",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  
5,"Carnivorous Cube",2,2,2,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  
5,"Clockwork Automaton",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  
5,"Despicable Dreadlord",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,  ,1,1,2,  ,  ,  ,  
5,"Doomguard",1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5,"Faceless Manipulator",1,1,1,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,  
5,"Possessed Lackey",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
