,,,,,"Maverick#2233","Odemian#2999","Raena#2283","Swidz#2563","NoName#13139"
1,"Fire Fly",2,40.0%,,1,1,,,
1,"Shield Slam",9,90.0%,,2,2,1,2,2
1,"Town Crier",3,30.0%,,,,1,2,
1,"Whirlwind",3,60.0%,,1,1,,1,
2,"Armorsmith",2,40.0%,,1,1,,,
2,"Battle Rage",8,80.0%,,2,2,2,2,
2,"Bring It On!",10,100.0%,,2,2,2,2,2
2,"Dead Man's Hand",9,90.0%,,2,2,2,2,1
2,"Drywhisker Armorer",8,80.0%,,2,2,2,,2
2,"Execute",10,100.0%,,2,2,2,2,2
2,"Slam",4,40.0%,,1,1,,,2
2,"Warpath",9,90.0%,,2,2,2,1,2
3,"Acolyte of Pain",10,100.0%,,2,2,2,2,2
3,"Rabid Worgen",2,20.0%,,,,,2,
3,"Shield Block",10,100.0%,,2,2,2,2,2
3,"Stonehill Defender",10,100.0%,,2,2,2,2,2
3,"Voodoo Doll",1,20.0%,,,,,,1
4,"Blood Razor",10,100.0%,,2,2,2,2,2
4,"Militia Commander",3,30.0%,,,,1,2,
4,"Spellbreaker",1,20.0%,,,,1,,
5,"Big Game Hunter",1,20.0%,,,,,1,
5,"Brawl",10,100.0%,,2,2,2,2,2
5,"Darius Crowley",1,20.0%,,,,1,,
5,"Elise the Trailblazer",1,20.0%,,,,1,,
5,"Harrison Jones",4,80.0%,,1,1,1,,1
6,"Unidentified Shield",1,20.0%,,,,,,1
8,"Grommash Hellscream",1,20.0%,,,,,,1
8,"Scourgelord Garrosh",5,100.0%,,1,1,1,1,1
8,"The Lich King",1,20.0%,,,,,,1
9,"Alexstrasza",1,20.0%,,,,,,1
