,,,,,"Mryagut#2306","Tyler#2449","Viper#23812","Casie#2884","anduriel#21364","Turna#2738","ElMachico#2287","Leta#21458","SCACC#2315","esteban#2504","Zuhex#21312","BoarControl#2986","fenomeno#21327","Bunnyhoppor#2897","ThijsNL#2223","Rdu#2340","bequiet#2179","Maur1#2225","iNS4NE#21840","Babon#21904","SpaDj#2732","NoName#13139","Rikitikitavi#2184","Orange#2309","kolmari#2701","Thiddi#2854","Crane333#2314","Hypno#22145","tanaka#21918","Bozzzton#2511","Springy#2781"
1,"Dark Pact",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Kobold Librarian",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Mortal Coil",6,19.4%,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,1,,,,,1
2,"Acidic Swamp Ooze",10,32.3%,,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,1
2,"Defile",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Doomsayer",45,72.6%,,,,,,1,2,2,2,2,2,2,2,2,2,1,1,,2,2,2,2,2,2,2,2,,2,1,2,2,1
2,"Plated Beetle",21,33.9%,,,,,,,,,,,,,1,1,1,1,1,2,,,,,2,2,2,2,2,2,2,,,
3,"Gluttonous Ooze",1,3.2%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,"Prince Taldaram",18,58.1%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1
3,"Stonehill Defender",21,33.9%,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,,,
3,"Tar Creeper",3,4.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
3,"Voodoo Doll",3,9.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,
4,"Hellfire",61,98.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
4,"Lesser Amethyst Spellstone",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",16,51.6%,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,1,1,
4,"Spiritsinger Umbra",25,80.6%,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,,,1
5,"Carnivorous Cube",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Doomguard",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Faceless Manipulator",53,85.5%,,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1
5,"Possessed Lackey",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Skull of the Man'ari",31,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Rin, the First Disciple",16,51.6%,,1,1,1,1,,,,,,1,1,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1
7,"Lord Godfrey",24,77.4%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,1,1,1,,,1,
8,"Twisting Nether",2,6.5%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
9,"Voidlord",62,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,"Bloodreaver Gul'dan",31,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,"Mountain Giant",47,75.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,2,1,2
