,,"zumpp#2702","bequiet#2179","SpaDj#2732","Glaser#2196","Jarla#21553","hunterace#2217","ntR#1799","Orange#2309","Kolento#2266","Meati#2841","BoarControl#2986","Bunnyhoppor#2897","fenomeno#21327","Turna#2738","ElMachico#2287","Trec#2878","Kalas#2638","xBlyzes#2682","Zhym#2678","NoName#13139","kolmari#2701","Faeli#2572","Springy#2781","Thiddi#2854"
2,"Acidic Swamp Ooze",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,  ,1,1,1
2,"Amani Berserker",2,2,  ,  ,1,1,1,2,2,2,2,2,2,2,2,2,2,2,  ,2,2,2,1,  
2,"Bluegill Warrior",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2
2,"Dire Wolf Alpha",2,1,2,2,  ,  ,  ,  ,2,2,  ,  ,  ,  ,  ,2,2,2,  ,  ,  ,  ,  ,1
2,"Drygulch Jailor",  ,  ,  ,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,  
2,"Equality",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2
2,"Hydrologist",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2
2,"Knife Juggler",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Loot Hoarder",  ,2,2,2,2,2,2,2,1,2,2,2,2,2,2,  ,  ,  ,  ,  ,1,2,2,  
2,"Plated Beetle",2,2,2,1,2,2,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,2,2,1,2,  
2,"Rockpool Hunter",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2
2,"Vicious Scalehide",2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,1,  ,  
4,"Blessing of Kings",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,  ,2
4,"Call to Arms",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Consecration",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Gentle Megasaur",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2
4,"Lightfused Stegodon",  ,  ,  ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,  
4,"Saronite Chain Gang",2,1,2,1,1,1,1,2,1,  ,  ,  ,  ,1,1,2,2,2,2,2,1,  ,  ,  
4,"Spellbreaker",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
4,"The Glass Knight",1,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1
4,"Truesilver Champion",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Argent Commander",  ,2,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
6,"Avenging Wrath",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
6,"Cairne Bloodhoof",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  
6,"Crystal Lion",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  
6,"Genn Greymane",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Sunkeeper Tarim",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Val'anyr",1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,  ,  ,  ,  ,  
8,"Dinosize",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1
8,"Silver Sword",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  
8,"The Lich King",1,  ,1,1,1,1,1,1,1,1,1,1,1,  ,  ,  ,  ,  ,1,1,1,1,1,  
8,"Tirion Fordring",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,  ,  ,  ,  ,  ,  ,  ,1,  
10,"Sea Giant",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  
12,"Mountain Giant",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  
