Player,Deck1,Deck2,Deck3,Deck4
"A83650#2106","Spiteful Druid","Murloc Paladin","Control Priest","Control Warlock"
"anduriel#21364","Spiteful Druid","Tempo Mage","Quest Rogue","Cube Warlock"
"Babon#21904","Spiteful Druid","Control Priest","Cube Warlock","Odd Quest Warrior"
"bequiet#2179","Tempo Mage","Even Paladin","Quest Rogue","Cube Warlock"
"BoarControl#2986","Spiteful Druid","Tempo Mage","Even Paladin","Cube Warlock"
"Bozzzton#2511","Tempo Mage","Murloc Paladin","Odd Rogue","Cube Warlock"
"Bunnyhoppor#2897","Spiteful Druid","Tempo Mage","Even Paladin","Cube Warlock"
"Casie#2884","Taunt Druid","Control Priest","Miracle Rogue","Cube Warlock"
"Crane333#2314","Big Spell Mage","Control Paladin","Cube Warlock","Odd Warrior"
"dawido#2832","Spiteful Druid","Murloc Paladin","Control Priest","Control Warlock"
"Duarte#21328","Token Druid","Spell Hunter","Odd Paladin","Odd Warrior"
"eilic#2496","Taunt Druid","Control Priest","Control Warlock","Quest Warrior"
"ElMachico#2287","Tempo Mage","Even Paladin","Odd Rogue","Cube Warlock"
"esteban#2504","Quest Druid","Control Priest","Quest Rogue","Cube Warlock"
"Faeli#2572","Taunt Druid","Even Paladin","Control Priest","Control Warlock"
"fenomeno#21327","Spiteful Druid","Tempo Mage","Even Paladin","Cube Warlock"
"Findan#2596","Spiteful Druid","Control Priest","Quest Rogue","Control Warlock"
"Fox#29320","Big Spell Mage","Control Priest","Control Warlock","Odd Quest Warrior"
"Glaser#2196","Spiteful Druid","Even Paladin","Control Priest","Control Warlock"
"greensheep#2290","Odd Hunter","Tempo Mage","Murloc Paladin","Odd Rogue"
"hunterace#2217","Taunt Druid","Even Paladin","Control Priest","Control Warlock"
"Hypno#22145","Spiteful Druid","Tempo Mage","Quest Rogue","Cube Warlock"
"ignite#21733","Taunt Druid","Big Spell Mage","Quest Rogue","Control Warlock"
"iNS4NE#21840","Spiteful Druid","Control Priest","Quest Rogue","Cube Warlock"
"Jarla#21553","Taunt Druid","Even Paladin","Control Priest","Control Warlock"
"Juristis#2130","Odd Hunter","Tempo Mage","Murloc Paladin","Odd Rogue"
"Kalas#2638","Even Paladin","Control Priest","Control Warlock","Odd Warrior"
"KalÃ xz#2721","Taunt Druid","Combo Priest","Quest Rogue","Control Warlock"
"Kolento#2266","Taunt Druid","Even Paladin","Control Warlock","Odd Warrior"
"kolmari#2701","Spiteful Druid","Even Paladin","Cube Warlock","Odd Warrior"
"Leta#21458","Spiteful Druid","Tempo Mage","Quest Rogue","Cube Warlock"
"martim#2226","Spiteful Druid","Control Priest","Quest Rogue","Control Warlock"
"Maur1#2225","Control Priest","Miracle Rogue","Cube Warlock","Odd Quest Warrior"
"Maverick#2233","Taunt Druid","Control Priest","Control Warlock","Control Warrior"
"Meati#2841","Spiteful Druid","Tempo Mage","Even Paladin","Quest Rogue"
"MM78#2809","Taunt Druid","Control Priest","Control Warlock","Odd Warrior"
"Mryagut#2306","Taunt Druid","Control Priest","Quest Rogue","Cube Warlock"
"Nicslay#2567","Spiteful Druid","Murloc Paladin","Control Priest","Control Warlock"
"NoName#13139","Even Paladin","Control Priest","Cube Warlock","Control Warrior"
"ntR#1799","Taunt Druid","Even Paladin","Control Priest","Control Warlock"
"Odemian#2999","Taunt Druid","Control Priest","Control Warlock","Control Warrior"
"Orange#2309","Tempo Mage","Even Paladin","Control Priest","Cube Warlock"
"pokrovac#2638","Spiteful Druid","Control Priest","Quest Rogue","Control Warlock"
"Raena#2283","Control Priest","Shudderwock Shaman","Control Warlock","Control Warrior"
"Rdu#2340","Spiteful Druid","Tempo Mage","Quest Rogue","Cube Warlock"
"RENMEN#2291","Spiteful Druid","Spell Hunter","Control Warlock","Quest Warrior"
"Rikitikitavi#2184","Spiteful Druid","Big Spell Mage","Cube Warlock","Quest Warrior"
"riku97#2895","Taunt Druid","Control Priest","Quest Rogue","Control Warlock"
"Ronnie#2895","Spiteful Druid","Tempo Mage","Control Warlock","Odd Warrior"
"SCACC#2315","Taunt Druid","Control Priest","Quest Rogue","Cube Warlock"
"Scruffy#2659","Taunt Druid","Control Priest","Control Warlock","Odd Warrior"
"Seiko#2721","Spiteful Druid","Murloc Paladin","Control Priest","Control Warlock"
"ShtanUdachi#2202","Spiteful Druid","Spell Hunter","Control Warlock","Quest Warrior"
"Sintolol#2775","Spiteful Druid","Murloc Paladin","Control Priest","Control Warlock"
"SpaDj#2732","Taunt Druid","Even Paladin","Control Priest","Cube Warlock"
"Springy#2781","Spiteful Druid","Big Spell Mage","Even Paladin","Cube Warlock"
"Swidz#2563","Togwaggle Druid","Big Spell Mage","Control Warlock","Control Warrior"
"tanaka#21918","Taunt Druid","Spell Hunter","Big Spell Mage","Cube Warlock"
"Thiddi#2854","Tempo Mage","Even Paladin","Combo Priest","Cube Warlock"
"ThijsNL#2223","Spiteful Druid","Tempo Mage","Quest Rogue","Cube Warlock"
"Trec#2878","Even Paladin","Control Priest","Control Warlock","Odd Warrior"
"Turna#2738","Tempo Mage","Even Paladin","Quest Rogue","Cube Warlock"
"Twink#21785","Taunt Druid","Control Priest","Control Warlock","Odd Warrior"
"Tyler#2449","Taunt Druid","Control Priest","Quest Rogue","Cube Warlock"
"Viper#23812","Taunt Druid","Control Priest","Miracle Rogue","Cube Warlock"
