,,,,,"Viper#23812","Casie#2884","Maur1#2225"
0,"Backstab",6,100.0%,,2,2,2
0,"Preparation",6,100.0%,,2,2,2
0,"Shadowstep",3,100.0%,,1,1,1
1,"Cold Blood",6,100.0%,,2,2,2
1,"Fire Fly",4,66.7%,,1,1,2
2,"Eviscerate",6,100.0%,,2,2,2
2,"Sap",6,100.0%,,2,2,2
2,"Shiv",6,100.0%,,2,2,2
3,"Blink Fox",4,66.7%,,2,2,
3,"Edwin VanCleef",3,100.0%,,1,1,1
3,"Fan of Knives",6,100.0%,,2,2,2
3,"Hench-Clan Thug",6,100.0%,,2,2,2
3,"Questing Adventurer",2,33.3%,,,,2
3,"SI:7 Agent",4,66.7%,,1,1,2
4,"Elven Minstrel",5,83.3%,,2,2,1
4,"Fal'dorei Strider",6,100.0%,,2,2,2
5,"Leeroy Jenkins",3,100.0%,,1,1,1
5,"Vilespine Slayer",2,66.7%,,1,1,
6,"Gadgetzan Auctioneer",6,100.0%,,2,2,2
