,,"Nicslay#2567","Sintolol#2775","dawido#2832","A83650#2106","greensheep#2290","Seiko#2721","Bozzzton#2511","Juristis#2130"
1,"Lost in the Jungle",2,2,2,2,2,2,2,2
1,"Murloc Tidecaller",2,2,2,2,2,2,2,2
1,"Righteous Protector",2,2,2,2,2,2,2,2
2,"Hydrologist",2,2,2,2,2,2,2,2
2,"Knife Juggler",2,2,2,2,2,2,2,2
2,"Rockpool Hunter",2,2,2,2,2,2,2,2
2,"Sound the Bells!",  ,  ,  ,  ,  ,1,  ,  
3,"Coldlight Seer",1,1,1,1,1,1,1,2
3,"Divine Favor",1,1,2,2,2,1,2,2
3,"Murloc Warleader",2,2,2,2,2,2,2,2
3,"Nightmare Amalgam",2,2,2,2,2,2,2,2
3,"Unidentified Maul",2,2,2,2,2,2,2,2
4,"Blessing of Kings",2,2,1,1,1,1,1,  
4,"Call to Arms",2,2,2,2,2,2,2,2
4,"Gentle Megasaur",2,2,2,2,2,2,2,2
4,"Spellbreaker",1,1,1,1,1,1,1,2
5,"Fungalmancer",1,1,1,1,1,1,2,1
6,"Sunkeeper Tarim",1,1,1,1,1,1,1,1
7,"Vinecleaver",1,1,1,1,1,1,  ,  
