,,,,,"Maur1#2225","Babon#21904","Fox#29320"
1,"Fire Plume's Heart",3,100.0%,,1,1,1
1,"Shield Slam",6,100.0%,,2,2,2
1,"Town Crier",4,66.7%,,2,1,1
1,"Whirlwind",6,100.0%,,2,2,2
3,"Acolyte of Pain",4,66.7%,,,2,2
3,"Fiery War Axe",2,33.3%,,,,2
3,"Gluttonous Ooze",2,66.7%,,1,1,
3,"Ironbeak Owl",4,66.7%,,2,2,
3,"Mind Control Tech",1,33.3%,,1,,
3,"Phantom Militia",6,100.0%,,2,2,2
3,"Rabid Worgen",5,83.3%,,2,1,2
3,"Reckless Flurry",6,100.0%,,2,2,2
3,"Shield Block",6,100.0%,,2,2,2
3,"Stonehill Defender",6,100.0%,,2,2,2
3,"Tar Creeper",5,83.3%,,1,2,2
3,"Tinkmaster Overspark",1,33.3%,,1,,
5,"Brawl",6,100.0%,,2,2,2
5,"Darius Crowley",3,100.0%,,1,1,1
5,"Direhorn Hatchling",6,100.0%,,2,2,2
5,"Harrison Jones",3,100.0%,,1,1,1
5,"Rotten Applebaum",1,33.3%,,,,1
7,"Baron Geddon",1,33.3%,,,1,
9,"Baku the Mooneater",3,100.0%,,1,1,1
