,,"zumpp#2702","Rikitikitavi#2184","RENMEN#2291","ShtanUdachi#2202","eilic#2496"
1,"Fire Plume's Heart",1,1,1,1,1
1,"Shield Slam",  ,1,1,1,  
1,"Town Crier",2,  ,  ,  ,  
1,"Whirlwind",  ,2,2,2,  
2,"Battle Rage",  ,  ,  ,  ,1
2,"Cornered Sentry",  ,2,2,2,1
2,"Drywhisker Armorer",2,2,2,2,2
2,"Execute",2,2,2,2,2
2,"Slam",  ,1,1,2,  
2,"Warpath",2,2,2,2,2
3,"Acolyte of Pain",2,2,2,2,2
3,"Blackwald Pixie",  ,  ,  ,  ,1
3,"Gluttonous Ooze",1,1,1,1,  
3,"Phantom Militia",2,2,2,2,2
3,"Reckless Flurry",  ,  ,  ,  ,1
3,"Shield Block",2,2,2,2,2
3,"Stonehill Defender",2,2,2,2,2
3,"Tar Creeper",  ,  ,  ,  ,2
4,"Blood Razor",2,2,2,2,2
4,"Militia Commander",2,  ,  ,  ,  
4,"Saronite Chain Gang",2,1,2,2,2
5,"Brawl",2,2,2,2,2
5,"Darius Crowley",1,  ,  ,  ,  
5,"Rotten Applebaum",2,2,1,  ,1
8,"Primordial Drake",  ,  ,  ,  ,2
8,"Scourgelord Garrosh",1,1,1,1,  
