,,,,,"ShtanUdachi#2202","RENMEN#2291","tanaka#21918","Duarte#21328"
1,"Arcane Shot",2,50.0%,,1,1,,
1,"Candleshot",8,100.0%,,2,2,2,2
1,"Hunter's Mark",8,100.0%,,2,2,2,2
1,"Tracking",8,100.0%,,2,2,2,2
2,"Explosive Trap",8,100.0%,,2,2,2,2
2,"Freezing Trap",4,50.0%,,1,1,2,
2,"Grievous Bite",2,50.0%,,1,1,,
2,"Misdirection",2,25.0%,,,,,2
2,"Rat Trap",1,25.0%,,,,1,
2,"Venomstrike Trap",1,25.0%,,,,1,
2,"Wandering Monster",8,100.0%,,2,2,2,2
3,"Animal Companion",8,100.0%,,2,2,2,2
3,"Deadly Shot",1,25.0%,,,1,,
3,"Eaglehorn Bow",8,100.0%,,2,2,2,2
3,"Kill Command",8,100.0%,,2,2,2,2
3,"Unleash the Hounds",8,100.0%,,2,2,2,2
4,"Flanking Strike",8,100.0%,,2,2,2,2
4,"Wing Blast",3,37.5%,,1,,,2
5,"Lesser Emerald Spellstone",8,100.0%,,2,2,2,2
6,"Deathstalker Rexxar",4,100.0%,,1,1,1,1
6,"To My Side!",8,100.0%,,2,2,2,2
7,"Rhok'delar",4,100.0%,,1,1,1,1
