,,,,,"Nicslay#2567","Sintolol#2775","Seiko#2721","Ronnie#2895","Rikitikitavi#2184","Zhym#2678","Babon#21904","Findan#2596","martim#2226","Hypno#22145","iNS4NE#21840","BoarControl#2986","Bunnyhoppor#2897","fenomeno#21327","Leta#21458","Spiteful Druid","dawido#2832","A83650#2106","Meati#2841","kolmari#2701","Spiteful Druid","ShtanUdachi#2202","RENMEN#2291","xBlyzes#2682","Springy#2781","Glaser#2196","ThijsNL#2223","Rdu#2340"
1,"Dire Mole",4,14.3%,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,
1,"Fire Fly",54,96.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
1,"Glacial Shard",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Hungry Crab",9,16.1%,,1,1,1,,,,,,,,,,,,,,1,1,,,,2,2,,,,,
2,"Prince Keleseth",28,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Crypt Lord",55,98.2%,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Druid of the Scythe",37,66.1%,,1,1,1,2,2,2,2,2,2,2,1,2,2,2,,,,,,2,2,2,2,,,1,2,2
3,"Gluttonous Ooze",15,26.8%,,,,,,1,1,1,1,1,1,2,,,,1,,,,,,,1,1,1,1,,1,1
3,"Greedy Sprite",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Mind Control Tech",46,82.1%,,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1
3,"Mindbreaker",3,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
3,"Tar Creeper",25,44.6%,,1,1,2,1,1,1,,,,1,1,1,1,1,1,1,2,2,1,1,1,,,2,2,,,
3,"Vicious Fledgling",23,41.1%,,1,1,1,,,,,,,,,2,2,2,2,2,2,2,1,1,,,,,,,2,2
4,"Fire Plume Phoenix",2,3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
4,"Keeper of the Grove",1,3.6%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
4,"Saronite Chain Gang",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",51,91.1%,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
5,"Bittertide Hydra",2,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,"Cobalt Scalebane",35,62.5%,,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,,,1,1,,,
5,"Druid of the Claw",11,19.6%,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,1,2,2
5,"Fungalmancer",52,92.9%,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
5,"Harrison Jones",6,21.4%,,,,,,,,1,1,1,,,,,,,,,,1,,1,,,,1,,,
5,"Leeroy Jenkins",15,53.6%,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,
6,"Spiteful Summoner",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Spreading Plague",3,10.7%,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Baron Geddon",2,7.1%,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
7,"Malfurion the Pestilent",28,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Grand Archivist",26,92.9%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
8,"The Lich King",26,92.9%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1
9,"Cenarius",1,3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
10,"Ultimate Infestation",56,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
