2018 Asia-Pacific Summer Playoffs Deck lists,,
Copy deck code into the Hearthstone Client to view,,
Note: This list is provided a courtesy. Battlefy is considered the source of truth for deck lists for this tournament.,,
Battletag,Class,Deck code
tom60229#3684,druid,AAECAZICCN4F68IC08UCyssCws4CmdMCnOIC0OcCC7QF8gWXwQKfwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
tom60229#3684,rogue,AAECAaIHBs0DhsICgNMCz+EC2+MCw+oCDMQBnALtAp8DiAXUBYYJl8EC/MEC68ICxscC9uwCAA==
tom60229#3684,warlock,AAECAcn1AgiKAfIFycICl9MCneIC6uYC2+kCnPgCC5ME9wS2B+EH58sC8tAC+NACiNICi+EC/OUC6OcCAA==
tom60229#3684,paladin,AAECAYsWBpkC2Qe5wQLCzgLN9ALr9wIM+wHcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
reall#3914,rogue,AAECAaIHBK8El8ECyssCnvgCDYwCogLLA9QF9QXdCIHCAp/CAuvCAsrDAtHhAovlAqbvAgA=
reall#3914,paladin,AAECAaToAgTtBbnBArfpAs30Ag37AZkC3APyBfQFlgbPBooHrwexCJYJm8sC+NICAA==
reall#3914,hunter,AAECAR8CrwSe+AIOoQKiAqgCtQOSBe0GlwjbCf4Ml8EC3cIC68IC4eMCi+UCAA==
reall#3914,mage,AAECAY0WBO0Flga/CKLTAg1xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77ALv8QIA
CitizenNappa#1999,paladin,AAECAZ8FBpkCige5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
CitizenNappa#1999,shaman,AAECAaoIBiCZAv4Fws4Cp+4CzfQCDL0B0wHZB/AHsQiRwQKbywKW6AL27AKU7wKw8AL28AIA
CitizenNappa#1999,hunter,AAECAR8EhwSvBPIFncwCDZ4BqAK1A8cD6wfbCYEK/gyOwwLf0gLj0gKL5QLv8QIA
CitizenNappa#1999,rogue,AAECAYO6AgKvBJ74Ag6MAssD1AX1Bd0IgcICn8IC68ICysMCyssC0eECi+UCpu8Cx/gCAA==
Tansoku#1289,warrior,AAECAYsWBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
Tansoku#1289,warlock,AAECAf0GCKIC2waKB8QIl9MC2OcCt/ECnPgCC4oBtgebwgLnywLy0AL40AKI0gLY5QL85QLq5gLo5wIA
Tansoku#1289,druid,AAECAQcK0AKTBJAH+QzRwwLTxQKixwLPxwLN7wKe+AIKS6ICkQOiBPwE/webwgLK5wK67AKd8AIA
Tansoku#1289,paladin,AAECAbSKAwa0BcrLAsLOApnTApziAtDnAgzeBfIFl8EC68ICysMCm8sCh84CkdAC0eECi+UC+eYC1+sCAA==
Steelo#31585,druid,AAECAZICCK8E3gXTxQLKywLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
Steelo#31585,rogue,AAECAYO6AgbNA4bCAsbHAs/hAtvjAsPqAgzEAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAvbsAgA=
Steelo#31585,warlock,AAECAf0GCJME8gWKB8nCApfTAp3iAtvpApz4AguKAfcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=
Steelo#31585,paladin,AAECAYsWBrnBApvLAurmArfpAs30Auv3Agz7AZkC3APyBfQFlgbPBooHrwexCJYJ+NICAA==
Surrender#31359,warlock,AAECAf0GCJME8gWKB8nCApfTAp3iAtvpApz4AguKAfcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=
Surrender#31359,paladin,AAECAYsWBrnBApvLAurmArfpAs30Auv3Agz7AZkC3APyBfQFlgbPBooHrwexCJYJ+NICAA==
Surrender#31359,rogue,AAECAaIHBs0DhsICxscCz+EC2+MCw+oCDMQBnALtAp8DiAXUBYYJl8EC/MEC68ICx9MC9uwCAA==
Surrender#31359,druid,AAECAbSKAwivBN4F08UCyssCws4CmdMCnOIC0OcCC/IFl8ECn8IC68ICm8sCh84CkdAC0eEC+eYC1+sCi+4CAA==
Ender#11479,shaman,AAECAaoIBiCZAv4Fws4Cp+4CzfQCDL0B0wHZB/AHsQiRwQKbywKW6AL27AKU7wKw8AL28AIA
Ender#11479,hunter,AAECAR8EhwSvBPIFncwCDZ4BqAK1A8cD6wfbCYEK/gyOwwLf0gLj0gKL5QLv8QIA
Ender#11479,rogue,AAECAaIHAq8EnvgCDowCywPUBfUF3QiBwgKfwgLrwgLKwwLKywLR4QKL5QKm7wLH+AIA
Ender#11479,paladin,AAECAZ8FBpkCige5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
FroStee#6472,warrior,AAECAQcK0gKyCKIJhs0Cjs4Cws4Cn9MCyucC/ecC6uoCCkuiBJEG/we5wwLMzQL2zwLx0wLq5wKb8wIA
FroStee#6472,warlock,AAECAcn1AgiiAtsGzAjTxQKX0wLY5wK38QKc+AILigG2B5vCAufLAvLQAvjQAojSAtjlAvzlAurmAujnAgA=
FroStee#6472,paladin,AAECAaToAgbyBbnBAurmArfpAs30Auv3Agz7AZkC3AP0BZYGzwaKB68HsQiWCZvLAvjSAgA=
FroStee#6472,shaman,AAECAaoIDN4FkAfHwQLzwgKHxAKc4gKr5wLz5wLD6gKn7gLv8QLv9wIJgQT1BP4Fl8ECmcIC68ICysMCm8sCnvACAA==
GundamFlame#1892,warlock,AAECAcn1AgiKAfIFigfJwgKX0wKd4gLb6QKc+AILkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
GundamFlame#1892,druid,AAECAZICCK8E3gXTxQLKywLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
GundamFlame#1892,paladin,AAECAYsWBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwfZB7EIlgmbywL40gIA
GundamFlame#1892,mage,AAECAf0EAr8IotMCDnG7ApUDqwS0BOYElgXsBZYGwcECmMQCj9MC++wC7/ECAA==
gogongsing#31127,paladin,AAECAaToAgSKB7nBArfpAs30Ag37AZkC3APyBfQFlgbPBq8HsQiWCZvLAvjSAurmAgA=
gogongsing#31127,hunter,AAECAYoWBK8E2wnrwgKe+AINoQKiAqgCtQOSBe0Glwj+DJfBAt3CApXOAuHjAovlAgA=
gogongsing#31127,mage,AAECAf0EBKsEvwiYxAKi0wINcbsClQO0BOYElgXsBZYGwcECj9MCvuwC++wC7/ECAA==
gogongsing#31127,rogue,AAECAaIHAq8EnvgCDowCogLLA9QF9QWBwgKfwgLrwgLKywLR4QKL5QL96gKm7wLH+AIA
b787#1808,warlock,AAECAaoICCCZAv4FigfAB8LOAqfuAs30AgvTAfsFqwbZB/AHkcECm8sClugC9uwClO8CsPACAA==
b787#1808,shaman,AAECAf0GCKIC2wbECNPFAsLOApfTArfxApz4AguKAbYHm8IC58sC8tAC+NACiNIC2OUC/OUC6uYC6OcCAA==
b787#1808,priest,AAECAZ8FBLnBArfnArfpAs30Ag37AZkC3APyBfQFlgbPBq8HsQiWCZvLAvjSAurmAgA=
b787#1808,paladin,AAECAa0GBsUEpQnTCtUK08UCkNMCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAonxAr3zAgA=
Tredsred#1762,hunter,AAECAZ8FBO0FucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
Tredsred#1762,rogue,AAECAR8CrwSe+AIOogKoArUDkgXUBe0G2wn+DJfBAt3CAuHjAsnsAuXvAt6CAwA=
Tredsred#1762,mage,AAECAf0EAr8IotMCDnG7ApUDtATmBJYF7AXBwQKYxALUzgKP0wL77ALl7wLv8QIA
Tredsred#1762,paladin,AAECAaIHAq8EnvgCDowCogLLA9QF9QXdCIHCAuvCAtHhAovlAsnsAqbvAuXvAt6CAwA=
ahqRoger#4889,druid,AAECAaIHBs0DhsICgNMCz+EC2+MCw+oCDMQBnALtAp8DiAXUBYYJl8EC/MEC68ICxscC9uwCAA==
ahqRoger#4889,paladin,AAECAbSKAwi0Bd4F08UCyssCws4CmdMCnOIC0OcCC/IFl8ECn8IC68ICm8sCh84CkdAC0eEC+eYC1+sCi+4CAA==
ahqRoger#4889,rogue,AAECAf0GCPIFigfJwgKX0wKd4gLY5wLb6QKc+AILkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
ahqRoger#4889,warlock,AAECAZ8FBtkHucECm8sCt+kCzfQC6/cCDPsBmQLcA/IF9AWWBs8GigevB7EIlgn40gIA
Hearthstoner#11283,paladin,AAECAZ8FBIoHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
Hearthstoner#11283,warlock,AAECAf0GBqIC2waKB5fTAtjnApz4AgyKAbYHxAibwgLnywLy0AL40AKI0gL85QLq5gLo5wK38QIA
Hearthstoner#11283,druid,AAECAZICBMLOApnTApziAtDnAg20Bd4F8gWXwQLrwgLKwwKbywKHzgKR0ALR4QL55gLX6wKL7gIA
Hearthstoner#11283,priest,AAECAa0GBsUE0wrVCtYK08UCkNMCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAonxAr3zAgA=
patoyao#1245,druid,AAECAZICCLQF3gWvwgLKwwLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
patoyao#1245,paladin,AAECAaToAgTZB7nBArfpAs30Ag37AZkC3APyBfQFlgbPBooHrwexCJYJm8sC+NICAA==
patoyao#1245,warlock,AAECAf0GBvIFycICl9MCneIC6uYC2+kCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
patoyao#1245,rogue,AAECAaIHBLQBhsICz+ECw+oCDcQBnALtAp8DiAXUBYYJl8EC/MEC68ICxscC2+MC9uwCAA==
Zyx#3505,paladin,AAECAZ8FBs8GucECycIC6uYCt+kCzfQCDPsBmQLcA/IF9AWWBooHrwexCJYJm8sC+NICAA==
Zyx#3505,warlock,AAECAf0GBooHycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
Zyx#3505,rogue,AAECAaIHBobCAsbHAoDTAs/hAtvjAsPqAgzEAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAvbsAgA=
Zyx#3505,druid,AAECAbSKAwi0BdPFAsrLAsLOApHQApnTApziAtDnAgveBfIFl8ECn8IC68ICm8sCh84C0eEC+eYC1+sCi+4CAA==
kin0531#3693,rogue,AAECAf0GCJME8gXJwgKX0wKd4gLq5gLb6QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
kin0531#3693,warlock,AAECAZ8FBNkHucECt+kCzfQCDfsBmQLcA/IF9AWWBs8GigevB7EIlgmbywL40gIA
kin0531#3693,paladin,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAuvCAsfTAtvjAvbsAgA=
kin0531#3693,druid,AAECAZICCLQF3gXTxQLKywLCzgKZ0wKc4gLQ5wIL8gWXwQKfwgLrwgKbywKHzgKR0ALR4QL55gLX6wKL7gIA
fire#3966,druid,AAECAbSKAwq0Bd4Fn8IC08UCyssCws4CmdMCnOIC0OcCi+4CCvIFl8EC68ICysMCm8sCh84CkdAC0eEC+eYC1+sCAA==
fire#3966,paladin,AAECAZ8FBpkCige5wQLCzgK36QLN9AIM+wHcA/IF9AWWBs8GrwexCJYJm8sC+NIC6uYCAA==
fire#3966,priest,AAECAa0GBsUE1gr7DNPFAqDOApDTAgyQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA
fire#3966,warlock,AAECAf0GBvIFycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA
