"battletag","class","deckstring"
"PNC#1102","DRUID","AAECAZICBMQGws4Cr9MC8eoCDUBf6QHkCMnHApTSApjSAp7SAubTAovhAoTmAt3rAo3wAgA="
"PNC#1102","ROGUE","AAECAaIHBrQB/MEChsICgNMCz+ECw+oCDMQBnALtAp8DiAWbBdQFhgmXwQLb4wL27ALi+AIA"
"PNC#1102","HUNTER","AAECAR8K3gX4CNPFApvLAobTApziArbqAsvsAoDzAqCAAwqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA=="
"PNC#1102","WARLOCK","AAECAcn1AgiKB/sHoM4Cps4Cws4Cl9MCy+wCzfQCC/IF+wa2B+EHjQjnywLx0AL90AKI0gLY5QLq5gIA"
"Nalguidan#1733","DRUID","AAECAZICBsQGysMCws4Cr9MC8eoCjfACDEBf6QHkCMnHApTSApjSAp7SAubTAovhAoTmAt3rAgA="
"Nalguidan#1733","ROGUE","AAECAaIHBrQBhsICgNMCz+EC2+MCw+oCDMQBnALtAp8DiAWbBdQFhgmXwQL8wQL27ALi+AIA"
"Nalguidan#1733","HUNTER","AAECAR8K3gX4CNPFApvLAobTApziArbqAsvsAoDzAqCAAwqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA=="
"Nalguidan#1733","WARLOCK","AAECAcn1AgiKB/sHoM4Cps4Cws4Cl9MCy+wCzfQCC/IF+wa2B+EHjQjnywLx0AL90AKI0gLY5QLq5gIA"
"Tarei#11497","ROGUE","AAECAaIHBogFhsICgNMCz+ECw+oCy+wCDMQBnALtAp8D1AWGCZfBAvzBAuvCAtvjAvbsAuL4AgA="
"Tarei#11497","WARLOCK","AAECAf0GBsnCApfTAp3iAtjnAtvpApz4AgyKAfcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAuL4AgA="
"Tarei#11497","DRUID","AAECAZICCLQD3gWZ0wKb6AL96wKa7gLk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA"
"Tarei#11497","SHAMAN","AAECAaoICt4F/wXTxQKc4gKr5wLD6gLL7AKn7gLv9wKZ+wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA="
"SnipedAgain#1736","MAGE","AAECAf0EBHG/wQKi0wLu9gINuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA"
"SnipedAgain#1736","HUNTER","AAECAR8ItQPHA4cEyQSG0wLL7AKA8wKnggMLngGoAusHlwj+DI7DAp3MAtfNAt/SAuPSAovlAgA="
"SnipedAgain#1736","ROGUE","AAECAaIHBMgDrwSe+ALn+gINjALLA9QF8wX1Bd0IgcICn8IC68IC0eECi+UCpu8C4vgCAA=="
"SnipedAgain#1736","WARLOCK","AAECAf0GBK8E980CnOICj4IDDTCEAc4Hwgj3DJvLAp/OAvLQAtHhAofoAu/xAvT3AtP4AgA="
"dog#1593","HUNTER","AAECAR8I+AiWwwLTxQKG0wKc4gK26gLL7AKA8wILjQGXCKvCAtjCApvLApzNAt3SAovhAuHjAvLxArn4AgA="
"dog#1593","ROGUE","AAECAaIHBogF/MEChsICgNMCz+ECw+oCDMQBnALtAp8DmwXUBYYJl8ECx9MC2+MC9uwC4vgCAA=="
"dog#1593","WARLOCK","AAECAf0GCIoBowHyBaDOAsLOApfTAurmAs30Agv7BooHtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA"
"dog#1593","DRUID","AAECAZICBsQGws4Cr9MC5tMCjeYC8eoCDEBf6QHkCMnHApTSApjSAp7SAovhAoTmAt3rAo3wAgA="
"Ant#1974","SHAMAN","AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA="
