,,,,,"CitizenNappa#1999","Ender#11479"
1,"Dire Mole",4,100.0%,,2,2
1,"Secretkeeper",4,100.0%,,2,2
2,"Crackling Razormaw",4,100.0%,,2,2
2,"Freezing Trap",2,100.0%,,1,1
2,"Scavenging Hyena",4,100.0%,,2,2
2,"Snake Trap",4,100.0%,,2,2
2,"Venomstrike Trap",2,100.0%,,1,1
2,"Wandering Monster",4,100.0%,,2,2
3,"Animal Companion",4,100.0%,,2,2
3,"Eaglehorn Bow",4,100.0%,,2,2
3,"Kill Command",4,100.0%,,2,2
3,"Unleash the Hounds",4,100.0%,,2,2
4,"Houndmaster",4,100.0%,,2,2
4,"Lifedrinker",4,100.0%,,2,2
4,"Spellbreaker",2,100.0%,,1,1
5,"Leeroy Jenkins",2,100.0%,,1,1
5,"Lesser Emerald Spellstone",4,100.0%,,2,2
