,,,,,"MegaGliscor","NonRoman11","NonRoman7","NonRoman12","DacMalza","NonRoman6"
1,"Arcane Artificer",12,100.0%,,2,2,2,2,2,2
1,"Daring Fire-Eater",2,16.7%,,,,,,,2
2,"Doomsayer",4,33.3%,,2,2,,,,
2,"Prince Keleseth",1,16.7%,,,,,,,1
2,"Raven Familiar",6,50.0%,,,,2,2,2,
3,"Acolyte of Pain",7,58.3%,,,1,2,2,2,
3,"Gluttonous Ooze",7,58.3%,,1,1,1,1,2,1
3,"Stonehill Defender",12,100.0%,,2,2,2,2,2,2
3,"Tar Creeper",6,50.0%,,2,1,1,1,1,
3,"Voodoo Doll",8,66.7%,,2,2,1,1,2,
3,"Zola the Gorgon",5,83.3%,,1,1,1,1,,1
4,"Arcane Keysmith",7,58.3%,,,2,2,2,,1
4,"Bright-Eyed Scout",2,16.7%,,,,,,,2
4,"Polymorph",12,100.0%,,2,2,2,2,2,2
4,"Saronite Chain Gang",1,16.7%,,,,,,1,
5,"Arcane Tyrant",2,16.7%,,2,,,,,
5,"Dragon's Fury",12,100.0%,,2,2,2,2,2,2
5,"Dragonmaw Scorcher",1,16.7%,,,,,,1,
5,"Zilliax",6,100.0%,,1,1,1,1,1,1
6,"Blizzard",12,100.0%,,2,2,2,2,2,2
6,"Meteor",12,100.0%,,2,2,2,2,2,2
6,"Mojomaster Zihi",5,83.3%,,1,1,1,1,,1
6,"Skulking Geist",3,50.0%,,,,1,1,,1
7,"Flamestrike",11,91.7%,,2,2,2,2,2,1
7,"Jan'alai, the Dragonhawk",1,16.7%,,,,,,,1
8,"Sindragosa",4,66.7%,,1,1,,,1,1
8,"The Lich King",6,100.0%,,1,1,1,1,1,1
9,"Dragoncaller Alanna",5,83.3%,,1,1,1,1,1,
9,"Frost Lich Jaina",6,100.0%,,1,1,1,1,1,1
12,"Mountain Giant",2,16.7%,,,,,,,2
