,,,,,"MCweifu","katsucurry","Kowsai","SilverByz","Sequinox","honbee","Tredsred","horo","NAGON","執念の蒼汁#1245","Shaxy","Pan","TypoVampire","李ゃう#1656","Tansoku","kevin","Kribo","okasinnsuke","MaRu","KiRu","Definition","FroStee","hcm","Steelo","strikeright","Taesang","Surrender","Akumaker","cocosasa"
1,"Holy Smite",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Power Word: Shield",25,43.1%,,1,1,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,2
2,"Mind Blast",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Radiant Elemental",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Visions",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Word: Pain",19,32.8%,,1,1,1,1,1,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,2,,,
2,"Spirit Lash",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Gilded Gargoyle",34,58.6%,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Shadow Word: Death",24,82.8%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,
3,"Vivid Nightmare",24,82.8%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1
4,"Eternal Servitude",56,96.6%,,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Mass Dispel",14,24.1%,,2,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,
5,"Lyra the Sunshard",17,58.6%,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Mass Hysteria",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Witchwood Grizzly",16,55.2%,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Zilliax",29,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Shadow Essence",28,48.3%,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,1,,,,,,,
7,"Lesser Diamond Spellstone",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Prophet Velen",29,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"Psychic Scream",58,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Shadowreaper Anduin",16,55.2%,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,,,,,,1,1,1,1,,,
8,"The Lich King",17,58.6%,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Malygos",29,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Zerek's Cloning Gallery",29,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
