,,,,,"CitizenNappa","Ender","Hearthstoner","lambyseries","curry","MegaGliscor","posesi","DacMalza","matsup","NonRoman2","NonRoman4","Machamp","SamuelTsao","Yisoo","Portia","NonRoman6","serra"
1,"Northshire Cleric",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Power Word: Shield",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Divine Hymn",11,32.4%,,,,,,,,1,,1,1,1,1,1,2,2,1,
2,"Firetree Witchdoctor",23,67.6%,,2,2,2,2,2,2,2,2,2,,1,,1,,1,1,1
2,"Mind Blast",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Visions",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wild Pyromancer",13,38.2%,,,,,,,,,,,2,2,2,2,2,2,1,
3,"Acolyte of Pain",3,17.6%,,,,,,,,,,,,,,,1,1,,1
3,"Gluttonous Ooze",12,70.6%,,1,1,1,1,1,1,,1,1,1,,,1,1,,1,
3,"Omega Medic",4,23.5%,,1,1,1,,,,,,,,,,1,,,,
3,"Tar Creeper",10,29.4%,,,,,,,2,1,1,1,1,1,1,,,1,,1
3,"Twilight Acolyte",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Duskbreaker",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Scaleworm",26,76.5%,,2,2,2,2,2,2,2,1,1,1,2,2,1,1,,1,2
4,"Twilight Drake",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Dragonmaw Scorcher",2,11.8%,,,,,,,,,1,,,,,,,,1,
5,"Mass Hysteria",1,5.9%,,,,,,1,,,,,,,,,,,,
6,"Cabal Shadow Priest",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Holy Fire",21,61.8%,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Skulking Geist",3,17.6%,,,,,,,,,,1,1,,,,,,,1
7,"Archbishop Benedictus",1,5.9%,,,,,1,,,,,,,,,,,,,
7,"Crowd Roaster",16,47.1%,,,,,1,2,2,1,1,1,1,1,1,1,1,1,1,1
7,"Psychic Scream",34,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Primordial Drake",24,70.6%,,2,2,2,1,1,,2,2,1,1,1,2,1,1,1,2,2
8,"Shadowreaper Anduin",17,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Alexstrasza",17,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
