,,,,,"MCweifu#4734","gyu#31470","player#3381","player#3126","player#3502","ddahyoni#31945","player#3844"
0,"Sacrificial Pact",7,100.0%,,1,1,1,1,1,1,1
1,"Dark Pact",1,14.3%,,1,,,,,,
1,"Kobold Librarian",14,100.0%,,2,2,2,2,2,2,2
2,"Defile",14,100.0%,,2,2,2,2,2,2,2
2,"Demonic Project",12,85.7%,,1,2,2,2,1,2,2
2,"Doomsayer",8,57.1%,,1,2,2,2,1,,
2,"Gnomeferatu",6,42.9%,,,,,,2,2,2
2,"Plated Beetle",10,71.4%,,2,2,2,2,2,,
3,"Gluttonous Ooze",7,100.0%,,1,1,1,1,1,1,1
3,"Ironbeak Owl",7,100.0%,,1,1,1,1,1,1,1
3,"Stonehill Defender",14,100.0%,,2,2,2,2,2,2,2
4,"Hellfire",14,100.0%,,2,2,2,2,2,2,2
4,"Lesser Amethyst Spellstone",14,100.0%,,2,2,2,2,2,2,2
4,"Shroom Brewer",14,100.0%,,2,2,2,2,2,2,2
5,"Faceless Manipulator",1,14.3%,,,,,,,,1
5,"Giggling Inventor",3,42.9%,,,,,,1,1,1
5,"Skull of the Man'ari",7,100.0%,,1,1,1,1,1,1,1
5,"Zilliax",1,14.3%,,,,,,,,1
6,"Possessed Lackey",1,14.3%,,1,,,,,,
6,"Rin, the First Disciple",6,85.7%,,1,1,1,1,1,1,
6,"Siphon Soul",6,85.7%,,1,1,1,1,1,1,
6,"Skulking Geist",6,85.7%,,1,1,1,1,,1,1
7,"Lord Godfrey",7,100.0%,,1,1,1,1,1,1,1
8,"Twisting Nether",9,64.3%,,1,1,1,1,1,2,2
9,"Voidlord",14,100.0%,,2,2,2,2,2,2,2
10,"Bloodreaver Gul'dan",7,100.0%,,1,1,1,1,1,1,1
