,,,,,"heisnotaxel#1382","DacRyvius#3965"
0,"Inner Rage",4,100.0%,,2,2
1,"Eternium Rover",4,100.0%,,2,2
1,"Shield Slam",4,100.0%,,2,2
1,"Town Crier",2,100.0%,,1,1
1,"Whirlwind",2,100.0%,,1,1
2,"Battle Rage",1,50.0%,,1,
2,"Slam",4,100.0%,,2,2
2,"Warpath",4,100.0%,,2,2
2,"Weapons Project",4,100.0%,,2,2
3,"Acolyte of Pain",4,100.0%,,2,2
3,"Shield Block",4,100.0%,,2,2
4,"Blood Razor",2,100.0%,,1,1
4,"Militia Commander",2,100.0%,,1,1
5,"Brawl",2,100.0%,,1,1
5,"Dyn-o-matic",4,100.0%,,2,2
5,"Harrison Jones",2,100.0%,,1,1
5,"Supercollider",1,50.0%,,,1
5,"Zilliax",2,100.0%,,1,1
7,"Dr. Boom, Mad Genius",2,100.0%,,1,1
9,"Malygos",2,100.0%,,1,1
9,"The Boomship",2,100.0%,,1,1
10,"Mecha'thun",2,100.0%,,1,1
