,,,,,"내게로와#3844"
1,"Dark Pact",2,100.0%,,2
1,"Kobold Librarian",2,100.0%,,2
2,"Defile",2,100.0%,,2
2,"Doomsayer",2,100.0%,,2
3,"Prince Taldaram",1,100.0%,,1
4,"Corpsetaker",1,100.0%,,1
4,"Hellfire",2,100.0%,,2
4,"Lesser Amethyst Spellstone",2,100.0%,,2
4,"Spiritsinger Umbra",1,100.0%,,1
5,"Carnivorous Cube",2,100.0%,,2
5,"Doomguard",2,100.0%,,2
5,"Faceless Manipulator",1,100.0%,,1
5,"Skull of the Man'ari",1,100.0%,,1
5,"Zilliax",1,100.0%,,1
6,"Possessed Lackey",2,100.0%,,2
7,"Lord Godfrey",1,100.0%,,1
9,"Voidlord",2,100.0%,,2
10,"Bloodreaver Gul'dan",1,100.0%,,1
12,"Mountain Giant",2,100.0%,,2
