,,,,,"hcm","NonRoman14","maxchen","TypoVampire","Portia","NonRoman4","Shaxy"
1,"Candleshot",14,100.0%,,2,2,2,2,2,2,2
1,"Hunter's Mark",14,100.0%,,2,2,2,2,2,2,2
1,"Play Dead",14,100.0%,,2,2,2,2,2,2,2
1,"Tracking",14,100.0%,,2,2,2,2,2,2,2
2,"Prince Keleseth",7,100.0%,,1,1,1,1,1,1,1
3,"Devilsaur Egg",14,100.0%,,2,2,2,2,2,2,2
3,"Gluttonous Ooze",4,57.1%,,1,1,1,1,,,
3,"Mind Control Tech",2,28.6%,,,,1,,,1,
3,"Spider Bomb",14,100.0%,,2,2,2,2,2,2,2
3,"Stitched Tracker",6,42.9%,,1,1,,,1,1,2
3,"Tar Creeper",4,57.1%,,,1,1,1,1,,
3,"Terrorscale Stalker",14,100.0%,,2,2,2,2,2,2,2
4,"Defender of Argus",1,14.3%,,,,,,,1,
4,"Flanking Strike",14,100.0%,,2,2,2,2,2,2,2
4,"Houndmaster Shaw",7,100.0%,,1,1,1,1,1,1,1
5,"Carnivorous Cube",14,100.0%,,2,2,2,2,2,2,2
5,"Witchwood Grizzly",14,100.0%,,2,2,2,2,2,2,2
5,"Zilliax",6,85.7%,,1,1,1,1,1,1,
6,"Deathstalker Rexxar",7,100.0%,,1,1,1,1,1,1,1
6,"Nerubian Unraveler",2,14.3%,,,,,,,,2
6,"Savannah Highmane",1,14.3%,,,,,,,1,
7,"Amani War Bear",3,21.4%,,,,,2,1,,
8,"Charged Devilsaur",4,57.1%,,1,1,1,,,,1
8,"Kathrena Winterwisp",7,100.0%,,1,1,1,1,1,1,1
9,"King Krush",7,100.0%,,1,1,1,1,1,1,1
9,"Oondasta",2,28.6%,,1,,,,1,,
