,,,,,"tom60229","MCweifu","strikeright","CitizenNappa","Ender","Hearthstoner","Alza","Tansoku","NAGON","okasinnsuke","NonRoman14","Enrico","Ruby","Yisoo","glory","blitzchung","Kribo","MaRu","KiRu","NonRoman9","NonRoman11","TypoVampire","Tyler","serra","cocosasa","Roger","NonRoman2502","Portia","Jay","curry","posesi","Machamp","garubor"
2,"Acidic Swamp Ooze",46,69.7%,,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,,2
2,"Amani Berserker",9,13.6%,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,1,2,2,
2,"Argent Protector",58,87.9%,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,
2,"Crystalsmith Kangor",33,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Equality",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Hydrologist",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wild Pyromancer",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Blessing of Kings",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Consecration",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Corpsetaker",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Saronite Chain Gang",5,7.6%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,2
4,"Spellbreaker",27,40.9%,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,,,1
4,"The Glass Knight",32,97.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,"Truesilver Champion",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Argent Commander",3,4.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2
6,"Avenging Wrath",53,80.3%,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,2,1,1,1
6,"Genn Greymane",33,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Mojomaster Zihi",9,27.3%,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,1,,,
6,"Spikeridged Steed",66,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Sunkeeper Tarim",33,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"Val'anyr",24,72.7%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,1,1
6,"Windfury Harpy",33,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"The Lich King",33,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Tirion Fordring",31,93.9%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,
