,,,,,"Tyler","Alza","blitzchung"
2,"Acidic Swamp Ooze",2,66.7%,,,1,1
2,"Dire Wolf Alpha",6,100.0%,,2,2,2
2,"Earthen Might",6,100.0%,,2,2,2
2,"Flametongue Totem",6,100.0%,,2,2,2
2,"Knife Juggler",3,50.0%,,2,,1
2,"Menacing Nimbus",6,100.0%,,2,2,2
2,"Murkspark Eel",6,100.0%,,2,2,2
2,"Primalfin Totem",6,100.0%,,2,2,2
2,"Vicious Scalehide",2,66.7%,,1,1,
4,"Corpsetaker",6,100.0%,,2,2,2
4,"Hex",5,83.3%,,2,2,1
4,"Saronite Chain Gang",6,100.0%,,2,2,2
6,"Argent Commander",3,100.0%,,1,1,1
6,"Fire Elemental",6,100.0%,,2,2,2
6,"Genn Greymane",3,100.0%,,1,1,1
6,"Nerubian Unraveler",1,33.3%,,,,1
8,"Al'Akir the Windlord",3,100.0%,,1,1,1
8,"Hagatha the Witch",2,66.7%,,,1,1
8,"Kalimos, Primal Lord",3,100.0%,,1,1,1
8,"The Lich King",3,100.0%,,1,1,1
10,"Sea Giant",6,100.0%,,2,2,2
