,,,,,"tom60229","Roger","Jay","garubor","glory","NonRoman14"
2,"Acidic Swamp Ooze",11,91.7%,,2,2,2,2,2,1
2,"Defile",12,100.0%,,2,2,2,2,2,2
2,"Demonic Project",1,16.7%,,,,,,,1
2,"Doomsayer",6,50.0%,,1,1,1,1,2,
2,"Gnomeferatu",2,16.7%,,,,,,,2
2,"Plated Beetle",7,58.3%,,1,1,1,1,1,2
2,"Sunfury Protector",12,100.0%,,2,2,2,2,2,2
2,"Vulgar Homunculus",12,100.0%,,2,2,2,2,2,2
4,"Hellfire",12,100.0%,,2,2,2,2,2,2
4,"Hooked Reaver",12,100.0%,,2,2,2,2,2,2
4,"Lesser Amethyst Spellstone",12,100.0%,,2,2,2,2,2,2
4,"Shroom Brewer",12,100.0%,,2,2,2,2,2,2
4,"Spellbreaker",12,100.0%,,2,2,2,2,2,2
4,"Twilight Drake",12,100.0%,,2,2,2,2,2,2
6,"Dread Infernal",6,50.0%,,1,1,1,2,1,
6,"Genn Greymane",6,100.0%,,1,1,1,1,1,1
6,"Mojomaster Zihi",1,16.7%,,,,,,1,
6,"Nerubian Unraveler",3,50.0%,,1,1,1,,,
6,"Skulking Geist",1,16.7%,,,,,,,1
6,"The Black Knight",1,16.7%,,,,1,,,
8,"Bonemare",3,50.0%,,1,1,,1,,
8,"The Lich King",6,100.0%,,1,1,1,1,1,1
10,"Bloodreaver Gul'dan",6,100.0%,,1,1,1,1,1,1
12,"Mountain Giant",12,100.0%,,2,2,2,2,2,2
