,,,,,"Shaxy","DacCarp","코둘기#31486","Hi3","kevin","Duelist","マイマイ#1495","あれっくす#1199","뚜치뚜치#3935","TIZS"
0,"Innervate",20,100.0%,,2,2,2,2,2,2,2,2,2,2
0,"Moonfire",20,100.0%,,2,2,2,2,2,2,2,2,2,2
0,"Pounce",20,100.0%,,2,2,2,2,2,2,2,2,2,2
1,"Barkskin",20,100.0%,,2,2,2,2,2,2,2,2,2,2
1,"Biology Project",20,100.0%,,2,2,2,2,2,2,2,2,2,2
1,"Earthen Scales",13,65.0%,,1,1,1,1,1,2,2,2,1,1
1,"Floop's Glorious Gloop",5,50.0%,,1,1,1,1,,,,,,1
1,"Lesser Jasper Spellstone",20,100.0%,,2,2,2,2,2,2,2,2,2,2
1,"Naturalize",20,100.0%,,2,2,2,2,2,2,2,2,2,2
2,"Wild Growth",1,10.0%,,,,,,,,,,,1
2,"Wild Pyromancer",20,100.0%,,2,2,2,2,2,2,2,2,2,2
2,"Wrath",20,100.0%,,2,2,2,2,2,2,2,2,2,2
3,"Acolyte of Pain",20,100.0%,,2,2,2,2,2,2,2,2,2,2
3,"Ferocious Howl",20,100.0%,,2,2,2,2,2,2,2,2,2,2
4,"Branching Paths",19,95.0%,,2,2,2,2,2,2,2,2,2,1
4,"Flobbidinous Floop",1,10.0%,,,,,,,,,,1,
6,"Gadgetzan Auctioneer",20,100.0%,,2,2,2,2,2,2,2,2,2,2
6,"Spreading Plague",1,10.0%,,,,,,1,,,,,
8,"King Togwaggle",10,100.0%,,1,1,1,1,1,1,1,1,1,1
10,"Hakkar, the Soulflayer",10,100.0%,,1,1,1,1,1,1,1,1,1,1
