,,,,,"hcm","Kowsai","FuF","Steelo","kevin","NonRoman3","LastHopelolz","honbee","MegaGliscor","matsup","Sooni","maxchen","TIZS","NonRoman8","NonRoman10","NonRoman7","NonRoman12","katsucurry","lambyseries","SilverByz","Sequinox","NonRoman13","horo","Pan","DacCarp","Tredsred","NonRoman5","Duelist","NonRoman1","FroStee"
1,"Righteous Protector",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Baleful Banker",38,63.3%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
2,"Bloodmage Thalnos",30,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Crystalsmith Kangor",30,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Crystology",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Equality",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Flash of Light",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Novice Engineer",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Potion of Heroism",22,36.7%,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,2,2,2,1,1,1,1,1,
2,"Wild Pyromancer",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Youthful Brewmaster",43,71.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,
3,"Gluttonous Ooze",3,10.0%,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
3,"High Priest Thekal",1,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Time Out!",58,96.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Zola the Gorgon",30,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"Consecration",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Hammer of Wrath",25,41.7%,,1,1,1,1,,,,,,,,,,,,1,1,2,2,2,2,1,1,1,1,2,2,1,,2
4,"Prismatic Lens",60,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Truesilver Champion",19,63.3%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,1,
5,"Holy Wrath",43,71.7%,,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
5,"Shrink Ray",14,46.7%,,1,1,1,,1,1,1,,,,,,1,1,1,,,1,1,1,1,,,,1,,,,,
6,"Mojomaster Zihi",4,13.3%,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,
9,"Uther of the Ebon Blade",30,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"Shirvallah, the Tiger",30,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
