Player,Deck1,Deck2,Deck3,Deck4
"ahqRoger#4889","Taunt Druid","Deathrattle Hunter","Quest Rogue","Cube Warlock"
"ahqShaxy#4711","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"Akumaker#1576","Mill Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"aqua#1699","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"Asura#41638","Token Druid","Deathrattle Hunter","Odd Rogue","Zoo Warlock"
"blitzchung#3549","Token Druid","Tempo Mage","Odd Rogue","Zoo Warlock"
"Chad#12155","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"che0nsu#3470","Mill Druid","Big Spell Mage","Shudderwock Shaman","Odd Warrior"
"CitizenNappa#1999","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"cocosasa#3734","Token Druid","Midrange Hunter","Odd Paladin","Odd Rogue"
"DacCarp#3361","Token Druid","Tempo Mage","Odd Rogue","Zoo Warlock"
"DacGyong#3539","Malygos Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"DacRyvius#3965","Malygos Druid","Control Priest","Even Warlock","Control Warrior"
"DawN#3542","Malygos Druid","Deathrattle Hunter","Quest Rogue","Shudderwock Shaman"
"ddahyoni#31945","Mecha'thun Quest Priest","Quest Rogue","Control Warlock","Quest Warrior"
"FroStee#6472","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"glory#1145","Token Druid","Spell Hunter","Odd Rogue","Zoo Warlock"
"gyu#31470","Mill Druid","Control Priest","Control Warlock","Quest Warrior"
"Hadeson#1161","Malygos Druid","Deathrattle Hunter","Odd Rogue","Cube Warlock"
"heisnotaxel#1382","Mill Druid","Control Priest","Quest Rogue","Control Warrior"
"Hi3#31902","Token Druid","Midrange Hunter","Odd Rogue","Zoo Warlock"
"hinaya#1721","Token Druid","Spell Hunter","Odd Rogue","Zoo Warlock"
"katsucurry#6248","Token Druid","Control Priest","Quest Rogue","Even Warlock"
"Khaius#11976","Malygos Druid","Deathrattle Hunter","Quest Rogue","Odd Warrior"
"kin0531#3693","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"Machamp#1278","Token Druid","Odd Paladin","Odd Rogue","Zoo Warlock"
"Mage#1642","Malygos Druid","Quest Rogue","Shudderwock Shaman","Cube Warlock"
"MCweifu#4734","Mill Druid","Control Priest","Control Warlock","Odd Warrior"
"MegaGliscor#1122","Mill Druid","Control Priest","Shudderwock Shaman","Even Warlock"
