,,,,,"Surrender","Akumaker","TypoVampire","Enrico","Gyong"
0,"Innervate",8,80.0%,,1,1,2,2,2
0,"Moonfire",10,100.0%,,2,2,2,2,2
1,"Lesser Jasper Spellstone",10,100.0%,,2,2,2,2,2
1,"Naturalize",10,100.0%,,2,2,2,2,2
2,"Wild Growth",6,60.0%,,2,2,1,1,
2,"Wrath",6,60.0%,,1,1,1,1,2
3,"Ferocious Howl",10,100.0%,,2,2,2,2,2
4,"Branching Paths",10,100.0%,,2,2,2,2,2
4,"Flobbidinous Floop",5,100.0%,,1,1,1,1,1
4,"Swipe",10,100.0%,,2,2,2,2,2
4,"Twig of the World Tree",5,100.0%,,1,1,1,1,1
5,"Arcane Tyrant",10,100.0%,,2,2,2,2,2
5,"Nourish",10,100.0%,,2,2,2,2,2
6,"Spreading Plague",10,100.0%,,2,2,2,2,2
7,"Dreampetal Florist",5,100.0%,,1,1,1,1,1
7,"Malfurion the Pestilent",5,100.0%,,1,1,1,1,1
9,"Alexstrasza",5,100.0%,,1,1,1,1,1
9,"Malygos",5,100.0%,,1,1,1,1,1
10,"Ultimate Infestation",10,100.0%,,2,2,2,2,2
