,,,,,"player#3844"
2,"Crystology",1,100.0%,,1
2,"Equality",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Wild Pyromancer",2,100.0%,,2
3,"Bronze Gatekeeper",1,100.0%,,1
3,"Gluttonous Ooze",1,100.0%,,1
3,"Stonehill Defender",2,100.0%,,2
4,"Annoy-o-Module",2,100.0%,,2
4,"Consecration",2,100.0%,,2
4,"Meat Wagon",2,100.0%,,2
4,"Spellbreaker",1,100.0%,,1
4,"Truesilver Champion",2,100.0%,,2
5,"Mechano-Egg",2,100.0%,,2
5,"Wargear",2,100.0%,,2
5,"Zilliax",1,100.0%,,1
6,"Spikeridged Steed",2,100.0%,,2
6,"Sunkeeper Tarim",1,100.0%,,1
6,"Val'anyr",1,100.0%,,1
7,"Kangor's Endless Army",1,100.0%,,1
