,,,,,"ddahyoni#31945"
1,"Awaken the Makers",1,100.0%,,1
1,"Power Word: Shield",2,100.0%,,2
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Dead Ringer",2,100.0%,,2
2,"Doomsayer",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Plated Beetle",2,100.0%,,2
2,"Shadow Visions",2,100.0%,,2
2,"Shadow Word: Pain",2,100.0%,,2
2,"Spirit Lash",2,100.0%,,2
3,"Mirage Caller",1,100.0%,,1
3,"Twilight's Call",2,100.0%,,2
3,"Zola the Gorgon",1,100.0%,,1
4,"Ticking Abomination",2,100.0%,,2
5,"Reckless Experimenter",1,100.0%,,1
6,"Coffin Crasher",1,100.0%,,1
6,"Hemet, Jungle Hunter",1,100.0%,,1
7,"Psychic Scream",2,100.0%,,2
10,"Mecha'thun",1,100.0%,,1
