,,,,,"player#3935"
1,"Kobold Librarian",2,100.0%,,2
1,"Mortal Coil",1,100.0%,,1
2,"Bloodbloom",1,100.0%,,1
2,"Defile",2,100.0%,,2
2,"Doomsayer",2,100.0%,,2
2,"Galvanizer",2,100.0%,,2
3,"Acolyte of Pain",2,100.0%,,2
3,"Gluttonous Ooze",1,100.0%,,1
3,"Stonehill Defender",2,100.0%,,2
3,"Voodoo Doll",1,100.0%,,1
4,"Cataclysm",1,100.0%,,1
4,"Hellfire",2,100.0%,,2
4,"Lesser Amethyst Spellstone",2,100.0%,,2
5,"Giggling Inventor",2,100.0%,,2
5,"Skull of the Man'ari",1,100.0%,,1
7,"Lord Godfrey",1,100.0%,,1
8,"Twisting Nether",1,100.0%,,1
9,"Voidlord",2,100.0%,,2
10,"Bloodreaver Gul'dan",1,100.0%,,1
10,"Mecha'thun",1,100.0%,,1
