,,,,,"player#3935"
0,"Inner Rage",2,100.0%,,2
1,"Shield Slam",2,100.0%,,2
2,"Bring It On!",1,100.0%,,1
2,"Slam",2,100.0%,,2
2,"Warpath",2,100.0%,,2
2,"Weapons Project",2,100.0%,,2
3,"Acolyte of Pain",2,100.0%,,2
3,"Shield Block",2,100.0%,,2
3,"Stonehill Defender",2,100.0%,,2
4,"Blood Razor",1,100.0%,,1
4,"Militia Commander",2,100.0%,,2
4,"Ticking Abomination",2,100.0%,,2
4,"Witchwood Piper",2,100.0%,,2
5,"Brawl",1,100.0%,,1
5,"Dyn-o-matic",2,100.0%,,2
5,"Harrison Jones",1,100.0%,,1
9,"The Boomship",1,100.0%,,1
10,"Mecha'thun",1,100.0%,,1
