,,,,,"MCweifu#4734","player#3502","reall#3914","che0nsu#3470","Redtea#3252","player#3935","MegaGliscor#1122","heisnotaxel#1382","Akumaker#1576","gyu#31470","player#3381","player#3126"
0,"Innervate",2,8.3%,,,,,,,2,,,,,,
1,"Lesser Jasper Spellstone",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
1,"Naturalize",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
2,"Bloodmage Thalnos",3,25.0%,,1,1,,,,,1,,,,,
2,"Wild Growth",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wrath",12,50.0%,,2,2,2,,1,2,,,,1,1,1
3,"Ferocious Howl",21,87.5%,,2,2,2,2,2,2,2,2,2,1,1,1
3,"Mind Control Tech",13,54.2%,,,,,,,1,2,2,2,2,2,2
4,"Branching Paths",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
4,"Flobbidinous Floop",5,41.7%,,,,,,,,,1,1,1,1,1
4,"Ironwood Golem",6,25.0%,,,,2,2,2,,,,,,,
4,"Oaken Summons",5,20.8%,,,,1,2,2,,,,,,,
4,"Swipe",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
4,"Twig of the World Tree",9,75.0%,,,,,1,1,1,1,1,1,1,1,1
5,"Arcane Tyrant",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",7,58.3%,,1,1,,,,,,1,1,1,1,1
5,"Nourish",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
5,"Starfall",13,54.2%,,2,2,1,1,,,2,1,1,1,1,1
6,"Spreading Plague",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
7,"Azalina Soulthief",12,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1
7,"Dreampetal Florist",12,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1
7,"Malfurion the Pestilent",12,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1
8,"King Togwaggle",12,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1
10,"Ultimate Infestation",24,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2
