,,,,,"pianolkiller"
1,"Righteous Protector",2,100.0%,,2
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Crystalsmith Kangor",1,100.0%,,1
2,"Equality",2,100.0%,,2
2,"Flash of Light",2,100.0%,,2
2,"Loot Hoarder",2,100.0%,,2
2,"Potion of Heroism",1,100.0%,,1
2,"Wild Pyromancer",2,100.0%,,2
3,"Blackwald Pixie",1,100.0%,,1
3,"Time Out!",1,100.0%,,1
3,"Zola the Gorgon",1,100.0%,,1
4,"Ancient Brewmaster",2,100.0%,,2
4,"Consecration",2,100.0%,,2
4,"Truesilver Champion",2,100.0%,,2
5,"Call to Arms",2,100.0%,,2
6,"Spikeridged Steed",2,100.0%,,2
6,"Sunkeeper Tarim",1,100.0%,,1
7,"Lynessa Sunsorrow",1,100.0%,,1
9,"Uther of the Ebon Blade",1,100.0%,,1
25,"Shirvallah, the Tiger",1,100.0%,,1
