,,,,,"reall#3914","gogongsing#31127","Tredsred#1762"
1,"Acherus Veteran",2,33.3%,,,2,
1,"Arcane Shot",6,100.0%,,2,2,2
1,"Candleshot",6,100.0%,,2,2,2
1,"Dire Mole",4,66.7%,,2,2,
1,"Emerald Reaver",6,100.0%,,2,2,2
1,"Fire Fly",3,50.0%,,2,1,
1,"Glacial Shard",6,100.0%,,2,2,2
1,"Leper Gnome",6,100.0%,,2,2,2
1,"Southsea Deckhand",2,33.3%,,,,2
1,"Tracking",4,66.7%,,2,2,
3,"Animal Companion",6,100.0%,,2,2,2
3,"Blackwald Pixie",2,33.3%,,,,2
3,"Eaglehorn Bow",6,100.0%,,2,2,2
3,"Ironbeak Owl",6,100.0%,,2,2,2
3,"Kill Command",6,100.0%,,2,2,2
3,"Nightmare Amalgam",2,33.3%,,,,2
3,"Tanglefur Mystic",2,33.3%,,,,2
3,"Unleash the Hounds",5,83.3%,,2,1,2
3,"Wolfrider",4,66.7%,,2,2,
5,"Leeroy Jenkins",3,100.0%,,1,1,1
9,"Baku the Mooneater",3,100.0%,,1,1,1
