,,,,,"NonRoman8"
1,"Daring Fire-Eater",2,100.0%,,2
1,"Fire Fly",1,100.0%,,1
3,"Black Cat",2,100.0%,,2
3,"Ironbeak Owl",1,100.0%,,1
3,"Pyromaniac",2,100.0%,,2
3,"Stonehill Defender",1,100.0%,,1
3,"Tar Creeper",2,100.0%,,2
3,"Voodoo Doll",2,100.0%,,2
3,"Zola the Gorgon",1,100.0%,,1
5,"Arcane Tyrant",2,100.0%,,2
5,"Blast Wave",1,100.0%,,1
5,"Dragon's Fury",2,100.0%,,2
5,"Leeroy Jenkins",1,100.0%,,1
5,"Zilliax",1,100.0%,,1
7,"Astromancer",2,100.0%,,2
7,"Azalina Soulthief",1,100.0%,,1
7,"Baron Geddon",1,100.0%,,1
7,"Flamestrike",2,100.0%,,2
7,"Jan'alai, the Dragonhawk",1,100.0%,,1
9,"Baku the Mooneater",1,100.0%,,1
9,"Frost Lich Jaina",1,100.0%,,1
