,,,,,"Nicslay#2567","switch#6148","Sonagi#31820","kin0531#3693","player#3771","ahqShaxy#4711","strikeright#3969","DacGyong#3539","SamDi#31840","Staz#6447","cocosasa#3734","Tredsred#1762","trahison#11389","Machamp#1278","posesi#1277","okasinnsuke#1294","YoungSpice#11714","seogui#31381"
1,"Abusive Sergeant",1,5.6%,,,,,,,,,,,1,,,,,,,,
1,"Acherus Veteran",15,41.7%,,,,,,,,,,,,2,2,2,2,2,2,1,2
1,"Argent Squire",12,33.3%,,,,,,,,,,,,,2,2,2,2,2,2,
1,"Blessing of Might",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Dire Mole",2,5.6%,,,,,,,,,,,,,,,,,,,2
1,"Fire Fly",32,88.9%,,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2
1,"Glow-Tron",24,66.7%,,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2
1,"Lost in the Jungle",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Mecharoo",20,55.6%,,2,2,2,2,2,2,2,2,2,2,,,,,,,,
1,"Righteous Protector",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Blood Knight",33,91.7%,,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2
3,"Divine Favor",7,38.9%,,,,,,1,1,1,,,1,,,,,,1,1,1
3,"Ironbeak Owl",2,11.1%,,,,,,,,,,,1,,,,,,,1,
3,"Raid Leader",29,80.6%,,2,2,2,2,2,1,2,,2,1,2,2,2,2,2,2,1,
3,"Stonehill Defender",3,8.3%,,,,,1,,,,,,,,,,,,,2,
3,"Unidentified Maul",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Void Ripper",16,44.4%,,1,1,1,1,1,1,2,2,2,2,,,,,1,1,,
5,"Fungalmancer",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",21,58.3%,,1,1,1,1,1,1,1,2,2,,2,2,2,2,1,,,1
5,"Leeroy Jenkins",16,88.9%,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1
5,"Level Up!",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Zilliax",1,5.6%,,,,,,,,,,1,,,,,,,,,
7,"Corridor Creeper",36,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Stormwind Champion",1,5.6%,,,,,,,,,,,,,,,,,,1,
7,"Vinecleaver",35,97.2%,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
9,"Baku the Mooneater",18,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
