,,,,,"pianolkiller","NonRoman11","garubor"
1,"Fire Plume's Heart",3,100.0%,,1,1,1
1,"Shield Slam",6,100.0%,,2,2,2
1,"Town Crier",3,50.0%,,1,2,
3,"Blackwald Pixie",6,100.0%,,2,2,2
3,"Gluttonous Ooze",1,33.3%,,1,,
3,"Ironbeak Owl",3,100.0%,,1,1,1
3,"Phantom Militia",6,100.0%,,2,2,2
3,"Reckless Flurry",6,100.0%,,2,2,2
3,"Shield Block",6,100.0%,,2,2,2
3,"Stonehill Defender",6,100.0%,,2,2,2
3,"Tar Creeper",6,100.0%,,2,2,2
5,"Brawl",6,100.0%,,2,2,2
5,"Direhorn Hatchling",6,100.0%,,2,2,2
5,"Dyn-o-matic",6,100.0%,,2,2,2
5,"Supercollider",6,100.0%,,2,2,2
5,"Witchwood Grizzly",2,66.7%,,1,,1
5,"Zilliax",3,100.0%,,1,1,1
7,"Amani War Bear",5,83.3%,,1,2,2
7,"Azalina Soulthief",1,33.3%,,,,1
9,"Baku the Mooneater",3,100.0%,,1,1,1
