,,,,,"Nicslay#2567","Tredsred#1762","trahison#11389","Machamp#1278","XiaoDai#3807","Hi3#31902","TNTPavean#3280","Taesang#3307","DacGyong#3539","strikeright#3969","Tyler#2449","Tansoku#1289","seogui#31381","kin0531#3693","blitzchung#3549","aqua#1699","Asura#41638","Chad#12155","tom60229#3684","player#3966","okasinnsuke#1294","DacCarp#3361","SamuelTsao#3234","switch#6148","player#3771","ahqShaxy#4711","hinaya#1721","glory#1145","player#3759","Hadeson#1161","Steelo#31585","Surrender#31359","CitizenNappa#1999","FroStee#6472","cocosasa#3734","Staz#6447","Sonagi#31820","SamDi#31840"
1,"Argent Squire",51,67.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,,
1,"Cold Blood",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Crystallizer",27,35.5%,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,2,2,2,2,2,2,2,2,1,2,2
1,"Deadly Poison",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Dire Mole",75,98.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Fire Fly",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Southsea Deckhand",75,98.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Blink Fox",23,30.3%,,1,2,2,2,,,,,,,,,,,,,,1,1,1,2,2,2,,1,,,,,,,,2,2,2,,,
3,"Blood Knight",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Deathspeaker",1,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Edwin VanCleef",17,44.7%,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,1,1,,,1,1,1,1,1,,,
3,"Fan of Knives",1,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Gluttonous Ooze",1,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
3,"Hench-Clan Thug",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"SI:7 Agent",73,96.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
3,"Sonya Shadowdancer",1,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3,"Tar Creeper",5,6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,2,
3,"Vicious Fledgling",42,55.3%,,,,,,1,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,,,,,,,1,2
3,"Void Ripper",31,40.8%,,1,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,1,1,1,1,1,,,,1,,2
5,"Captain Greenskin",2,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
5,"Cobalt Scalebane",5,13.2%,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,,,,,,,,
5,"Fungalmancer",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",70,92.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
5,"Leeroy Jenkins",38,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Myra's Unstable Element",34,89.5%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Vilespine Slayer",74,97.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
9,"Baku the Mooneater",38,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
