,,,,,"ddahyoni#31945","gyu#31470","player#3381","player#3126"
1,"Fire Plume's Heart",4,100.0%,,1,1,1,1
1,"Shield Slam",4,100.0%,,1,1,1,1
2,"Battle Rage",4,100.0%,,1,1,1,1
2,"Cornered Sentry",8,100.0%,,2,2,2,2
2,"Drywhisker Armorer",8,100.0%,,2,2,2,2
2,"Execute",8,100.0%,,2,2,2,2
2,"Slam",2,25.0%,,2,,,
2,"Warpath",8,100.0%,,2,2,2,2
2,"Weapons Project",3,75.0%,,,1,1,1
3,"Acolyte of Pain",8,100.0%,,2,2,2,2
3,"Gluttonous Ooze",1,25.0%,,1,,,
3,"Phantom Militia",8,100.0%,,2,2,2,2
3,"Reckless Flurry",3,75.0%,,,1,1,1
3,"Shield Block",8,100.0%,,2,2,2,2
3,"Stonehill Defender",8,100.0%,,2,2,2,2
3,"Tar Creeper",3,75.0%,,,1,1,1
4,"Blood Razor",8,100.0%,,2,2,2,2
4,"Saronite Chain Gang",8,100.0%,,2,2,2,2
5,"Brawl",8,100.0%,,2,2,2,2
5,"Zilliax",3,75.0%,,,1,1,1
6,"Skulking Geist",1,25.0%,,1,,,
7,"Azalina Soulthief",1,25.0%,,1,,,
8,"Scourgelord Garrosh",3,75.0%,,,1,1,1
