,,,,,"FroStee#6472"
1,"Iron Hide",2,100.0%,,2
1,"Shield Slam",2,100.0%,,2
2,"Bring It On!",2,100.0%,,2
2,"Dead Man's Hand",1,100.0%,,1
2,"Execute",2,100.0%,,2
2,"Forge of Souls",2,100.0%,,2
2,"Slam",1,100.0%,,1
2,"Warpath",2,100.0%,,2
3,"Reckless Flurry",1,100.0%,,1
3,"Shield Block",2,100.0%,,2
4,"Blood Razor",2,100.0%,,2
5,"Brawl",2,100.0%,,2
6,"Gather Your Party",2,100.0%,,2
8,"Geosculptor Yip",1,100.0%,,1
8,"Grommash Hellscream",1,100.0%,,1
8,"Rotface",1,100.0%,,1
8,"Scourgelord Garrosh",1,100.0%,,1
8,"The Lich King",1,100.0%,,1
8,"Woecleaver",1,100.0%,,1
9,"Ysera",1,100.0%,,1
