,,,,,"SamuelTsao"
1,"Argent Squire",1,100.0%,,1
1,"Autodefense Matrix",1,100.0%,,1
1,"Noble Sacrifice",2,100.0%,,2
1,"Redemption",2,100.0%,,2
1,"Righteous Protector",2,100.0%,,2
1,"Secretkeeper",2,100.0%,,2
2,"Hydrologist",2,100.0%,,2
2,"Knife Juggler",2,100.0%,,2
3,"Divine Favor",2,100.0%,,2
3,"Thrallmar Farseer",1,100.0%,,1
3,"Unidentified Maul",2,100.0%,,2
4,"Bellringer Sentry",2,100.0%,,2
4,"Blessing of Kings",2,100.0%,,2
4,"Corpsetaker",2,100.0%,,2
5,"Call to Arms",2,100.0%,,2
5,"Fungalmancer",1,100.0%,,1
6,"Sunkeeper Tarim",1,100.0%,,1
7,"Vinecleaver",1,100.0%,,1
