,,,,,"DacMalza"
1,"Earth Shock",2,100.0%,,2
1,"Fire Fly",1,100.0%,,1
2,"Prince Keleseth",1,100.0%,,1
3,"Electra Stormsurge",1,100.0%,,1
3,"Gluttonous Ooze",1,100.0%,,1
3,"Haunting Visions",1,100.0%,,1
3,"Healing Rain",2,100.0%,,2
3,"Lone Champion",1,100.0%,,1
3,"Stonehill Defender",2,100.0%,,2
3,"Zentimo",1,100.0%,,1
3,"Zola the Gorgon",1,100.0%,,1
4,"Hex",2,100.0%,,2
4,"Tidal Surge",2,100.0%,,2
5,"Dragonmaw Scorcher",2,100.0%,,2
5,"Elise the Trailblazer",1,100.0%,,1
5,"Volcano",2,100.0%,,2
5,"Zilliax",1,100.0%,,1
6,"Krag'wa, the Frog",1,100.0%,,1
6,"Rain of Toads",1,100.0%,,1
8,"Hagatha the Witch",1,100.0%,,1
8,"Primordial Drake",2,100.0%,,2
9,"Shudderwock",1,100.0%,,1
