,,,,,"tom60229#3684","ahqRoger#4889","kin0531#3693","blitzchung#3549","Steelo#31585","Surrender#31359","GundamFlame#1892","livevil#3366","Mage#1642","Piyobot#1837","ABS0L#3333","oyatsu#11568","Nickname#3924","DacGyong#3539","Mogumi#1641","okasinnsuke#1294","Srouc#1630","Zyx#3505","Nickname#4797","Nickname#3550","Nickname#3759","Nickname#3999","XiaoDai#3807","KiRu#31619","DacMalza#3886","patoyao#1245","Nickname#31486","Ohdollar#3512","Nickname#31169","MATSURI#1423","Disdai#1645","fire#3966","Garchomp#1185","js5#3234","Hearthstoner#11283","Tansoku#1289","nukesaku#1872","aqua#1699","NAGON#1609","horo#1775","matuko#1900","trahison#11389","Asura#41638","Heaven#12774","ahqShaxy#4711","MegaGliscor#1122","strikeright#3969","cocosasa#3734"
1,"Dire Mole",20,20.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,2,2,2,1,2,2,2,,,,1,
1,"Fire Fly",92,95.8%,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1,"Glacial Shard",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Prince Keleseth",48,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Blackwald Pixie",6,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,
3,"Crypt Lord",89,92.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
3,"Druid of the Scythe",70,72.9%,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,,2,,,,,,,,1,1,,1,2,2
3,"Gluttonous Ooze",24,50.0%,,1,1,1,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,,,1,,,,,1,1,1,,,,,,,1,1,,1,,1,1,
3,"Greedy Sprite",96,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Mind Control Tech",67,69.8%,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1
