,,,,,"ahqRoger#4889","player#3550","TIZS#3227"
1,"Lesser Jasper Spellstone",6,100.0%,,2,2,2
1,"Naturalize",6,100.0%,,2,2,2
2,"Wild Growth",6,100.0%,,2,2,2
2,"Wrath",3,100.0%,,1,1,1
3,"Witching Hour",6,100.0%,,2,2,2
4,"Branching Paths",6,100.0%,,2,2,2
4,"Ironwood Golem",6,100.0%,,2,2,2
4,"Oaken Summons",6,100.0%,,2,2,2
4,"Swipe",6,100.0%,,2,2,2
5,"Carnivorous Cube",6,100.0%,,2,2,2
5,"Nourish",6,100.0%,,2,2,2
8,"Primordial Drake",6,100.0%,,2,2,2
8,"The Lich King",3,100.0%,,1,1,1
9,"Dragonhatcher",6,100.0%,,2,2,2
9,"Hadronox",3,100.0%,,1,1,1
9,"Master Oakheart",3,100.0%,,1,1,1
9,"Sleepy Dragon",6,100.0%,,2,2,2
