,,,,,"Nicslay#2567","strikeright#3969","CitizenNappa#1999","FroStee#6472","seogui#31381","kin0531#3693","Chad#12155","Asura#41638","Tansoku#1289","aqua#1699","Taesang#3307","SSOZI#31810","Hi3#31902","Steelo#31585","Surrender#31359","blitzchung#3549","okasinnsuke#1294","player#3771","player#3999","Sooni#31863","Machamp#1278","tom60229#3684","player#3966","TNTfire#31345","hinaya#1721","glory#1145","DacGyong#3539","player#3759","TNTPavean#3280","ahqShaxy#4711","XiaoDai#3807","switch#6148","SamuelTsao#3234","Tredsred#1762","posesi#1277","trahison#11389","Pan#12621","DacCarp#3361"
1,"Flame Imp",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Kobold Librarian",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Lightwarden",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Soul Infusion",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Soulfire",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"The Soularium",38,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,"Voidwalker",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Voodoo Doctor",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Prince Keleseth",38,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Blood Knight",28,36.8%,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,1,,1,1,1,1,2,2,,,,,1
3,"Doubling Imp",73,96.1%,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
3,"Fungal Enchanter",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Happy Ghoul",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Void Ripper",1,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
4,"Lifedrinker",26,34.2%,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,1,,,2,2,2,2,
4,"Saronite Chain Gang",75,98.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
5,"Despicable Dreadlord",45,59.2%,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1
5,"Doomguard",47,61.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,2
5,"Fungalmancer",76,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Leeroy Jenkins",4,10.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,
6,"Mossy Horror",5,13.2%,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,1
