,,,,,"Fornari","pikapwner#1850","Bubzee","firemadness#1586","X115","Ryuksapple","happy","Muzzy","yoitsflo","Leadpaint","Th3RaT","Philtor","Kazghar","Bearpilot","Jusyo","L00e","Franswazy","Pantomime","Yakaam0302","Stauros","Awful","OHTEE#1720","Mystic","Shigg","Sneakyche#1872","masongos#1906","Snow#15541","Alliestrasza","Slysssa","Firemancer","Phoebus","Mago","Acseacse","Atlas","Sintherius","HeatShock","korextron#1532","Fresh","Nated4444","Professor_R","EvanEvanEvan"
1,"Arcane Artificer",82,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Baleful Banker",1,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2,"Bloodmage Thalnos",2,4.9%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
2,"Doomsayer",73,89.0%,,1,1,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2
2,"Loot Hoarder",4,4.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
2,"Novice Engineer",4,4.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,
2,"Plated Beetle",26,31.7%,,2,2,2,2,2,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,,2,2,1,1,1,1,,,,2,,
2,"Pyros",1,2.4%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2,"Raven Familiar",58,70.7%,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,2,2,,,2,2,2,2
3,"Acolyte of Pain",21,25.6%,,2,2,1,1,,,1,,,,,,,,,,,,,1,,,,,1,1,1,1,1,,,,,1,1,1,2,2,1,,
3,"Frost Nova",2,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
3,"Gluttonous Ooze",33,40.2%,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,2,2,2,2,1,,2,,,,,1,1,,,1,1
3,"Stonehill Defender",77,93.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,2,2,2,2,2
3,"Tar Creeper",12,14.6%,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,2,2,,2
3,"Voodoo Doll",78,95.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,
3,"Zola the Gorgon",5,12.2%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,,
