,,,,,"purple#1567","Zalae"
1,"Inner Fire",4,100.0%,,2,2
1,"Northshire Cleric",4,100.0%,,2,2
1,"Power Word: Shield",4,100.0%,,2,2
2,"Divine Spirit",4,100.0%,,2,2
2,"Loot Hoarder",4,100.0%,,2,2
2,"Radiant Elemental",4,100.0%,,2,2
2,"Shadow Visions",4,100.0%,,2,2
3,"Acolyte of Pain",4,100.0%,,2,2
3,"Twilight Acolyte",4,100.0%,,2,2
3,"Unidentified Elixir",4,100.0%,,2,2
4,"Duskbreaker",4,100.0%,,2,2
4,"Mass Dispel",2,100.0%,,1,1
4,"Twilight Drake",4,100.0%,,2,2
6,"Bone Drake",2,100.0%,,1,1
6,"Cabal Shadow Priest",4,100.0%,,2,2
8,"Primordial Drake",4,100.0%,,2,2
