,,,,,"cadvan","korextron#1532","meekopi","Yakaam0302","Royale","Mansion","Jasm","MrJones","Elyk","RampageKC","Snowy","slaviticus","Breezy","chloe#12225","Wesdiaz","EROSENTINEL","Monsanto","Caravaggio","Dimentional","X115","SamWynn","comeback","Awful"
1,"Northshire Cleric",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Power Word: Shield",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Acidic Swamp Ooze",3,13.0%,,,,,,,,,,,,,,,,,,1,,1,,,,1
2,"Divine Hymn",45,97.8%,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Mind Blast",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Shadow Visions",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Spirit Lash",1,4.3%,,,,,,,,,,,,,,,,,1,,,,,,,
2,"Squashling",1,4.3%,,,,,,,,,,,,,,,,,,,,,,,1,
2,"Wild Pyromancer",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Acolyte of Pain",34,73.9%,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,,2,1,
3,"Curious Glimmerroot",2,4.3%,,,,,,,,,,,,,,,,,,,,,2,,,
3,"Gluttonous Ooze",9,39.1%,,,,1,1,1,1,1,1,1,,,,,,,,,,,,1,1,
3,"Shadow Word: Death",4,8.7%,,,1,,,,,,,,,,,,,,,,,,,,1,2
3,"Tar Creeper",1,4.3%,,,,,,,,,,,,,,,,,,,,,,,1,
3,"Twilight Acolyte",40,87.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
4,"Duskbreaker",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Mass Dispel",20,43.5%,,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,1,1,1,2,1,1
4,"Scaleworm",11,23.9%,,,,1,1,,,,,,,,,,,,,1,1,,2,2,1,2
4,"Twilight Drake",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Harrison Jones",2,8.7%,,1,,,,,,,,,,,,,,,,,,,,,,1
6,"Cabal Shadow Priest",19,82.6%,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
6,"Holy Fire",25,54.3%,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,,,,,
6,"Skulking Geist",12,52.2%,,1,1,,1,,1,1,1,1,,,,,,,1,,1,1,,1,1,
7,"Archbishop Benedictus",1,4.3%,,,,,,,,,,,,,,,,,,,,1,,,,
7,"Psychic Scream",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"Primordial Drake",45,97.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
8,"Shadowreaper Anduin",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Alexstrasza",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"Mind Control",1,4.3%,,,,,,,,,,,,,,,,,,,,,,,,1
