,,,,,"cadvan","Shigg","EROSENTINEL","SamWynn","SnipedAgain#1736","Matroid","Quint11439","Professor_R","harlock"
0,"Sacrificial Pact",1,11.1%,,1,,,,,,,,
1,"Dark Pact",12,66.7%,,2,2,1,1,1,2,1,2,
1,"Dark Possession",1,11.1%,,,,1,,,,,,
1,"Kobold Librarian",18,100.0%,,2,2,2,2,2,2,2,2,2
1,"Mortal Coil",6,33.3%,,1,,,,1,1,,1,2
2,"Acidic Swamp Ooze",2,22.2%,,,,,,,,1,1,
2,"Defile",18,100.0%,,2,2,2,2,2,2,2,2,2
2,"Doomsayer",13,72.2%,,2,2,2,2,2,1,,,2
2,"Drain Soul",1,11.1%,,,,,,,,,,1
2,"Gnomeferatu",3,16.7%,,,,,1,,,2,,
2,"Plated Beetle",14,77.8%,,2,1,2,2,2,2,1,,2
3,"Gluttonous Ooze",5,55.6%,,1,1,1,1,1,,,,
3,"Ironbeak Owl",6,66.7%,,1,,1,1,1,1,1,,
3,"Shadow Bolt",1,11.1%,,,,,,1,,,,
3,"Stonehill Defender",18,100.0%,,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",1,11.1%,,,,,,,,1,,
3,"Tinkmaster Overspark",1,11.1%,,,,,,,,1,,
3,"Void Ripper",1,11.1%,,,,,,,,,1,
3,"Voodoo Doll",7,77.8%,,1,1,1,1,1,1,,1,
3,"Zola the Gorgon",1,11.1%,,,,,,1,,,,
4,"Hellfire",18,100.0%,,2,2,2,2,2,2,2,2,2
4,"Hooked Reaver",2,11.1%,,,,,,,,,,2
4,"Lesser Amethyst Spellstone",18,100.0%,,2,2,2,2,2,2,2,2,2
4,"Shroom Brewer",9,50.0%,,,,2,2,1,2,2,,
4,"Spellbreaker",3,16.7%,,,1,,,,,,,2
5,"Carnivorous Cube",1,11.1%,,,,,,,,,1,
5,"Despicable Dreadlord",7,38.9%,,,2,,,,1,,2,2
5,"Faceless Manipulator",2,22.2%,,,,,,,,1,1,
5,"Rotten Applebaum",1,11.1%,,,,,1,,,,,
5,"Skull of the Man'ari",3,33.3%,,,,,1,1,,1,,
6,"Possessed Lackey",10,55.6%,,2,2,2,1,,1,1,1,
6,"Rin, the First Disciple",9,100.0%,,1,1,1,1,1,1,1,1,1
6,"Siphon Soul",5,55.6%,,,,1,,1,1,1,,1
6,"Skulking Geist",2,22.2%,,,1,,,,,,1,
7,"Lord Godfrey",8,88.9%,,1,1,1,1,1,1,1,1,
8,"The Lich King",1,11.1%,,,,,,,,,,1
8,"Twisting Nether",12,66.7%,,2,2,1,1,1,2,1,1,1
9,"Voidlord",18,100.0%,,2,2,2,2,2,2,2,2,2
10,"Bloodreaver Gul'dan",9,100.0%,,1,1,1,1,1,1,1,1,1
12,"Mountain Giant",2,11.1%,,,,,,,,,2,
