,,,,,"Circumstance","DiRTy","Dizdemon#2464","BloodHunter#1290","Dimentional"
1,"Iron Hide",1,20.0%,,,,,,1
1,"Shield Slam",10,100.0%,,2,2,2,2,2
1,"Whirlwind",3,30.0%,,,,,2,1
2,"Armorsmith",4,40.0%,,,1,1,2,
2,"Battle Rage",6,60.0%,,,2,2,2,
2,"Bring It On!",10,100.0%,,2,2,2,2,2
2,"Cornered Sentry",2,20.0%,,,,2,,
2,"Dead Man's Hand",8,80.0%,,1,2,2,2,1
2,"Drywhisker Armorer",7,70.0%,,2,2,2,1,
2,"Execute",10,100.0%,,2,2,2,2,2
2,"Slam",7,70.0%,,2,1,1,1,2
2,"Warpath",10,100.0%,,2,2,2,2,2
3,"Acolyte of Pain",7,70.0%,,1,2,2,2,
3,"Gluttonous Ooze",1,20.0%,,,,,1,
3,"Ironbeak Owl",1,20.0%,,,1,,,
3,"Reckless Flurry",1,20.0%,,,,,,1
3,"Shield Block",10,100.0%,,2,2,2,2,2
3,"Stonehill Defender",7,70.0%,,2,2,2,1,
3,"Voodoo Doll",1,20.0%,,1,,,,
4,"Blood Razor",10,100.0%,,2,2,2,2,2
5,"Brawl",10,100.0%,,2,2,2,2,2
5,"Elise the Trailblazer",2,40.0%,,1,1,,,
5,"Harrison Jones",4,80.0%,,1,1,1,1,
6,"Gather Your Party",2,20.0%,,,,,,2
6,"Unidentified Shield",1,20.0%,,1,,,,
8,"Charged Devilsaur",2,20.0%,,,,,,2
8,"Geosculptor Yip",1,20.0%,,,,,,1
8,"Grommash Hellscream",2,40.0%,,1,,,,1
8,"Scourgelord Garrosh",5,100.0%,,1,1,1,1,1
8,"The Lich King",2,40.0%,,1,,,,1
8,"Woecleaver",1,20.0%,,,,,,1
9,"Alexstrasza",1,20.0%,,1,,,,
9,"Ysera",1,20.0%,,,,,,1
