,,,,,"Insom","Agenbyte#1599","Xifos","TeamAmerica","Guiyze#1681","mackenseize#1346","Nicholena","Casual#1852","Apxvoid","Hero","Bloody","noblord","BlinkFoxBOOM#1279","Ouate","Tarei","Levi","shoop","Outcry","Sirslim","seohyun628#1679","Pantomime","Deathsie","Fluffy","Seiko#2721","lnguagehackr#1412","Dizdemon#2464","Circumstance","Moosey#1449","TheJordude","Luker#11812","Aviera","firemadness#1586","Eselore","MrJones","ChoBo","Mariodela#2657","cary#11906","SwaggyG","MannyShow93","TerrenceM","CmaccompH","Lawfuldog","Vespasian#11965","HotMEOWTH","Danke","Jasm","BajaPigeon","Primitive","Freohr","Rage","Botticus","Zapgaze","PrettyGood","Fire#12197","Crane333#2314","HeatShock","purple#1567","Zalae","Gallon","cowboys367","Kitkatz#1390","DrJikininki","L00e","BoarControl#2986","Glaser#2196","Fenomeno","impact#1923","happy","Innovation","ironFIRE","Wheva","icer","Catdestroyer","tyler#2449","Mugibaby","Qwerty97","Fenom","DerpyTroller","Ike#1171","Envoy","Runhesaid","Yolkions","McBee","Wombutt#1499","Jusyo","Pandamanfan","Fornari","Doubtless"
1,"Dark Pact",174,98.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
1,"Kobold Librarian",176,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Mortal Coil",20,11.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,2,,,,,,2,1,1,2,,,,,,,,,,2,2,2,1,,1,,
1,"Sanguine Reveler",2,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Acidic Swamp Ooze",9,10.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2,"Curse of Weakness",1,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2,"Defile",176,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Doomsayer",139,79.0%,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,2,2,2,2,,2,,,,1,2,1,2,2
2,"Plated Beetle",36,20.5%,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,,,,,,,,,1,2,2,,,,2,2,2,2,2,2,,,,,,,,
2,"Sunfury Protector",2,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
