,,,,,"Meswannjr"
0,"Silence",2,100.0%,,2
1,"Fire Fly",2,100.0%,,2
1,"Inner Fire",2,100.0%,,2
1,"Northshire Cleric",2,100.0%,,2
1,"Power Word: Shield",2,100.0%,,2
2,"Divine Hymn",1,100.0%,,1
2,"Divine Spirit",2,100.0%,,2
2,"Radiant Elemental",2,100.0%,,2
2,"Shadow Ascendant",2,100.0%,,2
2,"Shadow Word: Pain",1,100.0%,,1
3,"Shadow Word: Death",1,100.0%,,1
3,"Tar Creeper",1,100.0%,,1
3,"Unidentified Elixir",2,100.0%,,2
4,"Lightspawn",2,100.0%,,2
4,"Mass Dispel",2,100.0%,,2
5,"Quartz Elemental",2,100.0%,,2
5,"Servant of Kalimos",2,100.0%,,2
