,,,,,"Mystic"
0,"Backstab",2,100.0%,,2
0,"Preparation",1,100.0%,,1
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Bloodsail Raider",2,100.0%,,2
2,"Cheap Shot",2,100.0%,,2
2,"Eviscerate",2,100.0%,,2
2,"Razorpetal Lasher",2,100.0%,,2
2,"Sap",2,100.0%,,2
2,"Shiv",2,100.0%,,2
4,"Elven Minstrel",1,100.0%,,1
4,"Fal'dorei Strider",2,100.0%,,2
4,"Lifedrinker",2,100.0%,,2
4,"Spellbreaker",2,100.0%,,2
6,"Argent Commander",2,100.0%,,2
6,"Cursed Castaway",1,100.0%,,1
6,"Gadgetzan Auctioneer",2,100.0%,,2
6,"Genn Greymane",1,100.0%,,1
6,"Vanish",1,100.0%,,1
