,,,,,"Conrad","Monsanto","Mansion","Atlas","laxlie","Floofys","IMakeUSadFace","Sintherius","Reaper06","Tbanhbao","OHTEE#1720","Willscarlet","Kazghar","Sheazus","Jake","Bearpilot","pikapwner#1850","Pokerox","TheChronic","korextron#1532","StrifeCro","xPowerful1x","LosDominator","Philtor","binhmighty","Houdinii","DoubleDos #1434","Mrmajiin","CapnCrunch#1396","Crest Memepaste","Stauros","TAOxEagle","rosty#1208","Sneakyche#1872","masongos#1906","Snow#15541","Alliestrasza","Nostam","Ryder","jakaso27#1154","Justsaiyan","Cydonia","Bubzee","BloodHunter#1290","Breezy","X115","MrJPickles","kap9","Frodan"
2,"Acidic Swamp Ooze",34,69.4%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,,,1,1
2,"Bloodmage Thalnos",2,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
2,"Crazed Alchemist",1,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,"Curse of Weakness",7,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,2,2
2,"Defile",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Doomsayer",97,99.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Drain Soul",7,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,,,
2,"Gnomeferatu",1,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,"Plated Beetle",92,93.9%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,,
2,"Sunfury Protector",83,84.7%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,,1,1,2,2,2,2
2,"Tainted Zealot",2,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
2,"Vulgar Homunculus",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Defender of Argus",3,6.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
4,"Hellfire",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Hooked Reaver",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Lesser Amethyst Spellstone",98,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Shadowflame",4,8.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
