,,,,,"Lostlegendx#1192","Levi"
1,"Shield Slam",1,50.0%,,,1
1,"Town Crier",4,100.0%,,2,2
2,"Battle Rage",4,100.0%,,2,2
2,"Bring It On!",4,100.0%,,2,2
2,"Cornered Sentry",2,50.0%,,,2
2,"Dead Man's Hand",4,100.0%,,2,2
2,"Drywhisker Armorer",2,50.0%,,,2
2,"Execute",4,100.0%,,2,2
2,"Slam",1,50.0%,,,1
2,"Warpath",4,100.0%,,2,2
3,"Acolyte of Pain",4,100.0%,,2,2
3,"Rabid Worgen",2,50.0%,,,2
3,"Shield Block",4,100.0%,,2,2
4,"Blood Razor",2,50.0%,,,2
4,"Militia Commander",4,100.0%,,2,2
4,"Witchwood Piper",1,50.0%,,1,
5,"Brawl",3,75.0%,,2,1
5,"Darius Crowley",1,50.0%,,1,
5,"Harrison Jones",1,50.0%,,1,
6,"Deadly Arsenal",2,50.0%,,2,
6,"Unidentified Shield",2,50.0%,,2,
7,"Gorehowl",2,50.0%,,2,
8,"Scourgelord Garrosh",2,100.0%,,1,1
