,,,,,"Conrad","Snowy","Agenbyte#1599","Justsaiyan","MrJPickles"
0,"Innervate",6,60.0%,,1,1,1,1,2
0,"Moonfire",10,100.0%,,2,2,2,2,2
1,"Lesser Jasper Spellstone",10,100.0%,,2,2,2,2,2
1,"Naturalize",2,20.0%,,,,,,2
2,"Bloodmage Thalnos",2,40.0%,,1,1,,,
2,"Wild Growth",10,100.0%,,2,2,2,2,2
2,"Wrath",9,90.0%,,2,2,2,2,1
3,"Ferocious Howl",6,60.0%,,2,2,1,1,
3,"Prince Taldaram",1,20.0%,,,,,,1
3,"Rummaging Kobold",1,20.0%,,,1,,,
4,"Branching Paths",10,100.0%,,2,2,2,2,2
4,"Ironwood Golem",4,40.0%,,,,2,2,
4,"Oaken Summons",4,40.0%,,,,2,2,
4,"Spellbreaker",1,20.0%,,,,,,1
4,"Swipe",10,100.0%,,2,2,2,2,2
4,"Twig of the World Tree",5,100.0%,,1,1,1,1,1
5,"Arcane Tyrant",10,100.0%,,2,2,2,2,2
5,"Faceless Manipulator",4,80.0%,,1,1,1,1,
5,"Nourish",10,100.0%,,2,2,2,2,2
5,"Starfall",1,20.0%,,1,,,,
6,"Spreading Plague",10,100.0%,,2,2,2,2,2
7,"Malfurion the Pestilent",5,100.0%,,1,1,1,1,1
8,"King Togwaggle",1,20.0%,,,,,,1
8,"The Lich King",3,60.0%,,1,1,,,1
9,"Malygos",5,100.0%,,1,1,1,1,1
10,"Ultimate Infestation",10,100.0%,,2,2,2,2,2
