,,,,,"croinosis"
0,"Backstab",2,100.0%,,2
0,"Preparation",2,100.0%,,2
1,"Sinister Strike",2,100.0%,,2
2,"Bloodmage Thalnos",1,100.0%,,1
2,"Cheat Death",2,100.0%,,2
2,"Evasion",1,100.0%,,1
2,"Eviscerate",2,100.0%,,2
2,"Razorpetal Volley",2,100.0%,,2
2,"Sap",1,100.0%,,1
2,"Shiv",2,100.0%,,2
3,"Fan of Knives",2,100.0%,,2
4,"Elven Minstrel",2,100.0%,,2
4,"Kobold Illusionist",2,100.0%,,2
4,"Spiritsinger Umbra",1,100.0%,,1
4,"WANTED!",2,100.0%,,2
6,"Gadgetzan Auctioneer",1,100.0%,,1
6,"Vanish",1,100.0%,,1
9,"Malygos",1,100.0%,,1
9,"Valeera the Hollow",1,100.0%,,1
