,,,,,"Meswannjr","Hotform#11346"
1,"Candleshot",2,50.0%,,,2
1,"Dire Mole",4,100.0%,,2,2
1,"Hunter's Mark",2,50.0%,,,2
1,"Jeweled Macaw",2,50.0%,,2,
1,"Raptor Hatchling",2,50.0%,,2,
1,"Tracking",2,50.0%,,,2
2,"Crackling Razormaw",4,100.0%,,2,2
2,"Explosive Trap",2,50.0%,,,2
2,"Freezing Trap",2,50.0%,,,2
2,"Scavenging Hyena",4,100.0%,,2,2
2,"Snake Trap",1,50.0%,,,1
2,"Vicious Scalehide",2,50.0%,,2,
3,"Animal Companion",4,100.0%,,2,2
3,"Bearshark",2,50.0%,,2,
3,"Eaglehorn Bow",4,100.0%,,2,2
3,"Kill Command",4,100.0%,,2,2
3,"Unleash the Hounds",4,100.0%,,2,2
4,"Houndmaster",4,100.0%,,2,2
4,"Lifedrinker",2,50.0%,,2,
5,"Lesser Emerald Spellstone",2,50.0%,,,2
5,"Tundra Rhino",2,50.0%,,2,
6,"Deathstalker Rexxar",1,50.0%,,,1
6,"Savannah Highmane",2,50.0%,,2,
