,,,,,"Adarics","Meswannjr","Pantomime","Mago","Promech","Acseacse","chloe#12225","Floofys","Sirslim","Nicholena","Brodiaz"
1,"Glacial Shard",1,9.1%,,1,,,,,,,,,,
1,"Grimscale Oracle",2,9.1%,,,2,,,,,,,,,
1,"Lost in the Jungle",16,72.7%,,,,,2,2,2,2,2,2,2,2
1,"Murloc Tidecaller",20,90.9%,,,2,2,2,2,2,2,2,2,2,2
1,"Noble Sacrifice",2,9.1%,,,,,,,,,,,,2
1,"Redemption",2,9.1%,,,,,,,,,,,,2
1,"Righteous Protector",21,95.5%,,1,2,2,2,2,2,2,2,2,2,2
2,"Equality",1,9.1%,,1,,,,,,,,,,
2,"Holy Light",1,9.1%,,1,,,,,,,,,,
2,"Hydrologist",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
2,"Knife Juggler",18,81.8%,,,,2,2,2,2,2,2,2,2,2
2,"Murloc Tidehunter",3,13.6%,,1,2,,,,,,,,,
2,"Rebuke",2,9.1%,,,,,,,,,,,2,
2,"Rockpool Hunter",20,90.9%,,,2,2,2,2,2,2,2,2,2,2
2,"Sound the Bells!",1,9.1%,,1,,,,,,,,,,
3,"Blood Knight",1,9.1%,,1,,,,,,,,,,
3,"Coldlight Seer",12,54.5%,,,2,2,1,1,1,1,1,2,1,
3,"Divine Favor",19,86.4%,,,2,1,2,2,2,2,2,2,2,2
3,"Murloc Warleader",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
3,"Nightmare Amalgam",14,63.6%,,,,2,2,2,2,2,2,2,,
3,"Primalfin Lookout",2,9.1%,,,2,,,,,,,,,
3,"Stonehill Defender",2,9.1%,,2,,,,,,,,,,
3,"Unidentified Maul",20,90.9%,,,2,2,2,2,2,2,2,2,2,2
4,"Bellringer Sentry",2,9.1%,,,,,,,,,,,,2
4,"Blessing of Kings",9,40.9%,,1,,2,1,1,1,1,1,1,,
4,"Consecration",2,9.1%,,2,,,,,,,,,,
4,"Felsoul Inquisitor",1,9.1%,,1,,,,,,,,,,
4,"Gentle Megasaur",19,86.4%,,1,,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",11,50.0%,,,2,2,1,1,1,1,1,,2,
4,"Truesilver Champion",4,18.2%,,1,2,1,,,,,,,,
5,"Call to Arms",18,81.8%,,,,2,2,2,2,2,2,2,2,2
5,"Fungalmancer",8,36.4%,,,2,,1,1,1,1,1,1,,
5,"Ghostly Charger",1,9.1%,,1,,,,,,,,,,
5,"Stampeding Kodo",1,9.1%,,1,,,,,,,,,,
6,"Spikeridged Steed",4,18.2%,,2,2,,,,,,,,,
6,"Sunkeeper Tarim",10,90.9%,,1,,1,1,1,1,1,1,1,1,1
6,"Val'anyr",1,9.1%,,1,,,,,,,,,,
7,"Vinecleaver",9,81.8%,,,,1,1,1,1,1,1,1,1,1
8,"Gilnean Royal Guard",1,9.1%,,1,,,,,,,,,,
8,"Primordial Drake",2,9.1%,,2,,,,,,,,,,
8,"Silver Sword",1,9.1%,,1,,,,,,,,,,
8,"The Lich King",1,9.1%,,,,,,,,,,,1,
9,"Uther of the Ebon Blade",1,9.1%,,1,,,,,,,,,,
